IBM ,Retro_source,Catch,SSB,F,PED,PING,IAV
AIM,Catch,0.871941917,0.311324848,5.757660658,0.964741185,0.992373093,0.702637948
AIM,M,1.147318432,1.376024069,0.878847227,0.30875,0.7316875,0.338792905
CC-FM,Catch,0.591864622,1.14640791,0.667352918,0.4859375,0.55925,0.693385403
CC-FM,M,0.388134227,2.379593908,0.166510887,0.0946875,0.164125,0.473619519
CC-FSPR,Catch,0.589846956,1.157955109,0.646219985,0.4805,0.5505,0.676164417
CC-FSPR,M,0.394141196,2.363256723,0.167030009,0.095875,0.1728125,0.475694683
DLM,Catch,0.449707394,1.286215714,0.606562316,0.351593513,0.468016332,0.342270056
DLM,M,0.588089596,2.0509638,0.338179532,0.147840909,0.265113636,0.321860041
Ensemble,Catch,0.775054755,0.418505905,4.626877182,0.862875,0.9901875,0.467712443
Ensemble,M,0.962569241,1.666469845,0.581597782,0.21775,0.446625,0.198846586
ES-FM,Catch,0.742807463,0.248656962,8.012066876,0.9655625,1,0.724145212
ES-FM,M,1.038688024,1.577959196,0.621788932,0.1799375,0.5083125,0.300170797
ES-Frecent,Catch,0.587743678,1.035930232,0.937494935,0.399262592,0.589988751,0.292339304
ES-Frecent,M,0.757610306,1.775309733,0.4892088,0.221284839,0.377265342,0.281201574
ES-FSPR,Catch,0.743385694,0.253725504,7.893437056,0.967375,1,0.679689949
ES-FSPR,M,1.036104677,1.580965028,0.616400928,0.1804375,0.5061875,0.301297588
ES-Fstable,Catch,0.87646821,0.317365484,5.680060921,0.96424106,0.991685421,0.710839896
ES-Fstable,M,1.141421568,1.378560572,0.87970671,0.3130625,0.731375,0.342714982
Islope,Catch,0.61110014,0.869333539,1.204760206,0.4696875,0.6403125,0.078751285
Islope,M,0.792609141,1.576081541,0.62721347,0.3054375,0.47,0.087635546
Ismooth,Catch,0.578779526,1.175542514,0.78200043,0.348825587,0.51517991,0.165323233
Ismooth,M,0.72120154,1.902127045,0.414853377,0.168353323,0.291791604,0.169223075
Itarget,Catch,0.977895617,0.511862151,4.105904796,0.9206875,0.93625,0.856121806
Itarget,M,0.766216612,1.738518228,0.419474721,0.2665625,0.441875,0.409544187
SCAA,Catch,0.956077724,0.592598401,1.829212524,0.796548706,0.884644242,0.428213882
SCAA,M,0.662025601,2.137548305,0.2485372,0.0243125,0.009625,0.194238006
Skate,Catch,0.668510064,0.178475978,8.729852344,0.9875,1,0.914221545
Skate,M,1.206906724,1.208742548,1.285205436,0.450375,0.8301875,0.259365804
