IBM,F,Catch,SSB,PED,PING,IAV
AIM,1.980751776,1.036628194,0.694447931,0.4,0.8,0.44786521
CC-FM,0.313347105,0.469804795,1.781717197,0,0,0.566952783
CC-FSPR,0.310768713,0.47261193,1.788501336,0,0,0.56291802
DLM,0.420698029,0.520744621,1.716468942,0,0,0.330979482
Ensemble,1.390145103,0.901576975,0.920179223,0.166666667,0.55,0.279675411
ES-FM,1.754151912,0.934022123,0.746312778,0.333333333,0.75,0.391202539
ES-Frecent,0.654499347,0.674686733,1.422209985,0,0,0.286121832
ES-FSPR,1.710460031,0.930519478,0.742116051,0.333333333,0.75,0.388693851
ES-Fstable,1.978560737,1.034273827,0.701230692,0.4,0.75,0.452793973
Islope,0.86672169,0.70348986,1.230204415,0,0.25,0.084249621
Itarget,1.255225049,0.874908247,0.973840795,0.25,0.35,0.607103106
Ismooth,0.548935409,0.654213131,1.563687614,0,0,0.167269739
SCAA,0.474967636,0.763716962,1.248687879,0,0,0.238508822
Skate,3.784117237,1.025774418,0.537294963,0.65,1,0.423357343
