IBM,Catch_mult,F,Catch,SSB,PED,PING,IAV
AIM,0.75,1.407548411,1.013336509,0.803414713,0.5660625,0.7776875,0.401831162
AIM,1,2.586145671,1.066045512,0.603669693,0.707364341,0.94636159,0.494279573
CC-FM,0.75,0.207260694,0.361671333,2.020360137,0.2148125,0.2549375,0.537168252
CC-FM,1,0.473332009,0.60313024,1.572241027,0.3658125,0.4684375,0.612188354
CC-FSPR,0.75,0.209171927,0.36349518,2.014701794,0.21575,0.2620625,0.53877673
CC-FSPR,1,0.464672605,0.594194535,1.580198426,0.360625,0.46125,0.594921204
DLM,0.75,0.199752581,0.271436833,2.177550825,0.139114583,0.20796875,0.313528861
DLM,1,0.74125947,0.756745558,1.330654614,0.382374953,0.556692029,0.367901071
Ensemble,0.75,0.93016637,0.859909064,1.080802132,0.45825,0.6099375,0.253836179
Ensemble,1,1.933547862,0.94745671,0.7786352,0.622375,0.826875,0.313325419
ES-FM,0.75,1.341146775,0.902375454,0.837087802,0.52325,0.664375,0.364459925
ES-FM,1,2.313861047,0.973124067,0.66734279,0.62225,0.8439375,0.422368832
ES-Frecent,0.75,0.293282699,0.436354106,1.97015016,0.154625,0.2474375,0.279912354
ES-Frecent,1,1.258784722,0.922070615,1.010739787,0.465883529,0.719757561,0.293972168
ES-FSPR,0.75,1.304811223,0.896574352,0.833019286,0.5288125,0.6666875,0.364109788
ES-FSPR,1,2.164150351,0.971878233,0.671255992,0.619,0.8395,0.415979505
ES-Fstable,0.75,1.416460297,1.009217,0.809848511,0.567875,0.780375,0.411759852
ES-Fstable,1,2.593490824,1.06622452,0.607142949,0.709364841,0.942673168,0.501678188
Islope,0.75,0.419497242,0.55057189,1.718249057,0.221375,0.33525,0.059257373
Islope,1,1.809294667,0.918191039,0.85170946,0.55375,0.7750625,0.165044704
Itarget,0.75,1.043084753,0.839742241,1.028432393,0.5655,0.6534375,0.554279267
Itarget,1,1.479152972,0.907064377,0.909927694,0.62175,0.7246875,0.658173632
PBS,0.75,0.246370481,0.368746683,2.052567878,0.13825,0.2038125,0.16478082
PBS,1,0.912315076,0.873318404,1.196708997,0.378808691,0.60295954,0.170178501
SCAA,0.75,0.394937091,0.713161989,1.320365934,0.390861358,0.41567696,0.224886295
SCAA,1,0.555927203,0.809190815,1.174681544,0.429857464,0.478432108,0.253776146
Skate,0.75,3.060840417,1.003613606,0.61501221,0.6551875,0.852875,0.36847453
Skate,1,4.879221283,1.055006417,0.479003616,0.7826875,0.9773125,0.470640725
