IBM,Fhist,Catch_mult,F_history,F,Catch,SSB,PED,PING,IAV
AIM,1,0.75,Fmsy,1.288416625,1.156557214,0.934123002,0.15,0.5,0.452994752
AIM,1,1,Fmsy,2.459299334,1.246359236,0.723080196,0.45,0.833333333,0.549707085
AIM,2,0.75,2.5xFmsy,1.505262226,0.899156359,0.70954454,0.333333333,0.666666667,0.384021928
AIM,2,1,2.5xFmsy,2.669068907,0.913645359,0.500241334,0.6,1,0.467885298
CC-FM,1,0.75,Fmsy,0.276500328,0.55573152,1.956378583,0,0,0.603878517
CC-FM,1,1,Fmsy,0.690533507,0.840722395,1.49272771,0,0.2,0.702452838
CC-FM,2,0.75,2.5xFmsy,0.150674943,0.244572619,2.11419742,0,0,0.48405404
CC-FM,2,1,2.5xFmsy,0.340979149,0.43234896,1.679681538,0,0,0.532637413
CC-FSPR,1,0.75,Fmsy,0.278872596,0.566475848,1.966551806,0,0,0.601579258
CC-FSPR,1,1,Fmsy,0.677957473,0.824554113,1.509746113,0,0.166666667,0.681445299
CC-FSPR,2,0.75,2.5xFmsy,0.155295282,0.240075577,2.090079387,0,0,0.487808221
CC-FSPR,2,1,2.5xFmsy,0.330052444,0.433030953,1.673908185,0,0,0.521401824
DLM,1,0.75,Fmsy,0.172196435,0.286476015,2.359670412,0,0,0.31277006
DLM,1,1,Fmsy,0.567915775,0.800925049,1.581527135,0,0,0.338190296
DLM,2,0.75,2.5xFmsy,0.267124804,0.260148084,1.928011269,0,0,0.314445101
DLM,2,1,2.5xFmsy,1.092169178,0.705298156,1.01869167,0.1,0.4,0.3977535
Ensemble,1,0.75,Fmsy,0.812999221,0.937982265,1.210096282,0,0.25,0.259108059
Ensemble,1,1,Fmsy,1.985241868,1.079799641,0.889443728,0.25,0.666666667,0.327899165
Ensemble,2,0.75,2.5xFmsy,1.015566439,0.790613564,0.944281379,0,0.35,0.251607215
Ensemble,2,1,2.5xFmsy,1.904761896,0.847427991,0.669763013,0.35,0.75,0.306024095
ES-FM,1,0.75,Fmsy,2.79930069,1.054714163,0.804822997,0.333333333,0.833333333,0.421877248
ES-FM,1,1,Fmsy,5.108188869,1.191806663,0.669080488,0.5,1,0.523703668
ES-FM,2,0.75,2.5xFmsy,1.21723918,0.790112606,0.85290228,0.1,0.5,0.343980313
ES-FM,2,1,2.5xFmsy,1.942985759,0.840772148,0.666620132,0.341666667,0.8,0.393695573
ES-Frecent,1,0.75,Fmsy,0.247033737,0.461734653,2.173664523,0,0,0.273883771
ES-Frecent,1,1,Fmsy,0.930969024,1.000554513,1.26180227,0,0.333333333,0.283041241
ES-Frecent,2,0.75,2.5xFmsy,0.392539585,0.41574299,1.66719913,0,0,0.285616671
ES-Frecent,2,1,2.5xFmsy,1.779472996,0.833207866,0.726974601,0.3,0.833333333,0.304357491
ES-FSPR,1,0.75,Fmsy,2.413742955,1.052084946,0.81344777,0.333333333,0.833333333,0.433397737
ES-FSPR,1,1,Fmsy,4.136203443,1.18215956,0.675088956,0.5,1,0.522111392
ES-FSPR,2,0.75,2.5xFmsy,1.113545219,0.795008368,0.850021252,0.15,0.45,0.340194985
ES-FSPR,2,1,2.5xFmsy,1.761352677,0.83498053,0.669033976,0.333333333,0.8,0.386149746
ES-Fstable,1,0.75,Fmsy,1.286393173,1.154150504,0.939332924,0.15,0.5,0.456806069
ES-Fstable,1,1,Fmsy,2.510201067,1.248185739,0.734736313,0.45,0.8,0.555942601
ES-Fstable,2,0.75,2.5xFmsy,1.505982883,0.895955294,0.714574597,0.333333333,0.666666667,0.390946006
ES-Fstable,2,1,2.5xFmsy,2.654788566,0.913551782,0.506521267,0.6,0.95,0.472520497
Islope,1,0.75,Fmsy,0.357995621,0.595380935,1.932804016,0,0,0.056500274
Islope,1,1,Fmsy,1.380294929,1.016053215,1.065543655,0,0.65,0.15439558
Islope,2,0.75,2.5xFmsy,0.579247366,0.5039595,1.380471231,0,0,0.063426953
Islope,2,1,2.5xFmsy,2.240630852,0.807503622,0.631912327,0.45,1,0.176120127
Itarget,1,0.75,Fmsy,1.329452172,1.047825808,1.133999929,0.15,0.4,0.515974453
Itarget,1,1,Fmsy,1.941180088,1.135825413,0.991676539,0.3,0.5,0.643878413
Itarget,2,0.75,2.5xFmsy,0.918817105,0.645917701,0.926624305,0.2,0.3,0.587514665
Itarget,2,1,2.5xFmsy,1.251465382,0.715684437,0.833506813,0.333333333,0.4,0.672040876
Ismooth,1,0.75,Fmsy,0.208465496,0.390749657,2.243208491,0,0,0.163456016
Ismooth,1,1,Fmsy,0.724040087,0.941509042,1.434941681,0,0,0.161035272
Ismooth,2,0.75,2.5xFmsy,0.325705574,0.349439081,1.781927964,0,0,0.166195088
Ismooth,2,1,2.5xFmsy,1.333318499,0.788259917,0.876276585,0.1,0.65,0.182598429
SCAA,1,0.75,Fmsy,0.51955189,0.883483889,1.201237415,0,0.125,0.305531024
SCAA,1,1,Fmsy,0.818947391,0.96430681,1.063834362,0,0.25,0.366201461
SCAA,2,0.75,2.5xFmsy,0.343571292,0.565330171,1.381976002,0,0,0.212710149
SCAA,2,1,2.5xFmsy,0.476294234,0.660560204,1.221952727,0,0,0.23961809
Skate,1,0.75,Fmsy,3.378230538,1.168373636,0.704533156,0.5,1,0.436284609
Skate,1,1,Fmsy,5.094678205,1.290800481,0.547147644,0.666666667,1,0.569299914
Skate,2,0.75,2.5xFmsy,2.719946354,0.87513383,0.542663417,0.5,1,0.356205993
Skate,2,1,2.5xFmsy,4.459869895,0.900248527,0.403664561,0.7,1,0.43734455
