IBM,time_period,SSB,Catch,F,PED,PING,IAV
AIM,L,0.69826678,0.83408312,1.691641017,0.71383923,0.90630079,NA
AIM,S,0.691967727,1.289345439,2.578133324,0.55956995,0.81772722,NA
CC-FM,L,2.66182843,0.334997228,0.137381846,0.2775,0.3581875,NA
CC-FM,S,1.191949072,0.553138932,0.448165696,0.303125,0.3651875,NA
CC-FSPR,L,2.662549697,0.341059448,0.130441493,0.2736875,0.35975,NA
CC-FSPR,S,1.194073675,0.550309274,0.442946142,0.3026875,0.3635625,NA
DLM,L,2.650096704,0.108837368,0.048720678,0.22234206,0.25066697,NA
DLM,S,1.147094174,0.796145689,0.735502746,0.27728898,0.4826588,NA
Ensemble,L,0.932074665,0.731944739,1.495001864,0.6475,0.7726875,NA
Ensemble,S,0.914299913,1.05888876,1.303276999,0.433125,0.664125,NA
ES-FM,L,0.70581355,0.7520514,1.817696752,0.6401875,0.8626875,NA
ES-FM,S,0.7627934,1.129167966,1.713969788,0.5053125,0.645625,NA
ES-Frecent,L,2.100825276,0.353325835,0.283303333,0.33695788,0.4111986,NA
ES-Frecent,S,1.117447345,0.899187088,0.849677322,0.28358955,0.55605549,NA
ES-FSPR,L,0.702090873,0.753897926,1.712061467,0.639,0.8566875,NA
ES-FSPR,S,0.765768641,1.130363126,1.70661388,0.5088125,0.6495,NA
ES-Fstable,L,0.708746653,0.837227145,1.688280697,0.71546443,0.90786348,NA
ES-Fstable,S,0.694282287,1.283371425,2.610597259,0.56175772,0.8151644,NA
Islope,L,1.655883412,0.433554591,0.549612824,0.4604375,0.5198125,NA
Islope,S,1.077655276,0.95676751,0.962357846,0.3146875,0.5905,NA
Itarget,L,1.018400491,0.894476722,1.625399207,0.7256875,0.85225,NA
Itarget,S,0.938074131,0.833234726,0.78782057,0.4615625,0.525875,NA
PBS,L,2.34264832,0.301367873,0.187776213,0.25081209,0.31403048,NA
PBS,S,1.144349248,0.856012582,0.779815867,0.26636682,0.49294103,NA
SCAA,L,1.54995724,0.845449491,0.558502165,0.39332375,0.50565731,NA
SCAA,S,0.992257916,0.623549287,0.471583672,0.42739264,0.38844783,NA
Skate,L,0.417831873,0.624484336,3.102770803,0.815125,0.944875,NA
Skate,S,0.595469389,1.391146277,4.312658601,0.62275,0.8853125,NA
