"","F","Catch","SSB"
"ES-FM-2-S",1.41345881777385,0.803021112981189,0.730846322903018
"ES-FSPR-2-S",1.40276064114076,0.800269626182755,0.721837814424363
"Ensemble-2-S",1.35964385831148,0.835008278730286,0.713693953436336
"ES-Frecent-2-S",1.33805097356997,0.835191478139537,0.723653944708433
"ES-Fstable-1-L",1.45081985074744,0.865722815172133,0.778369501246413
"AIM-1-L",1.45996981749346,0.859031861205182,0.765524395144959
"ES-FSPR-2-L",1.46119469858631,0.830377136707919,0.810238873884596
"Ensemble-1-L",1.45677327085589,0.661072292467145,0.898277898456808
"PBS-2-S",1.21499239786769,0.794018706717313,0.747971504299373
"DLM-2-S",1.13178027114346,0.751249032904654,0.748245498516743
"ES-Fstable-2-L",1.84501805411009,0.810813728450474,0.648425867646422
"AIM-2-L",1.84164536848115,0.802407823476136,0.638548458065552
"ES-FM-2-L",1.62561305504962,0.82819372481306,0.818333834927397
"Islope-2-S",1.56215841141276,0.871193893180726,0.680302859321306
"Itarget-2-L",1.61396181047863,0.848043185335189,0.931336957043725
"Ensemble-2-L",1.53070770056233,0.793976351652139,0.969363833051058
"Itarget-1-L",1.63794817796875,0.939514125461952,1.07671160107483
"Itarget-1-S",1.57568294604194,1.38254143971017,1.05302151848563
"Ensemble-1-S",1.20853255625358,1.37555411170784,1.13254185970893
"SCAA-1-S",0.798992138348664,1.18350589577798,0.933701841638806
"CC-FM-1-S",0.509263838120613,0.84970693008387,1.41494009471945
"CC-FSPR-1-S",0.507330179453923,0.841203710393988,1.41785308094033
"DLM-1-S",0.521302686056665,0.837210377410965,1.47455513530404
"ES-Frecent-1-S",0.615945938089416,0.953160681651602,1.44289387213339
"PBS-1-S",0.577134791266654,0.903116292132995,1.46451930913059
"SCAA-1-L",0.662231511239455,0.82100464687416,1.32719688133097
"Islope-1-S",0.699539424659756,1.02439942870095,1.40132006367914
"SCAA-2-L",0.533801347393834,0.87120832195301,1.68447841848955
"Islope-1-L",0.566972296972852,0.476901881282217,1.69149730339992
"Islope-2-L",0.532354761421153,0.388468879608499,1.62227772275833
"CC-FM-2-S",0.405846303936126,0.38908552559719,0.964563798411405
"CC-FSPR-2-S",0.396481567160305,0.387181887852737,0.959564142126349
"SCAA-2-S",0.395499383419433,0.40218838257242,1.01107840495341
"Itarget-2-S",0.602622388458003,0.487482524083771,0.842189997570585
"CC-FSPR-1-L",0.291065907651078,0.513232901489885,2.21586938419542
"CC-FM-1-L",0.298138123353834,0.502042092019145,2.20726274467742
"ES-Frecent-1-L",0.267509547492195,0.374416188036014,2.19321509217281
"ES-Frecent-2-L",0.295582381853127,0.333566171132668,2.01143827996925
"PBS-1-L",0.178345440175722,0.323911531861177,2.40960330985842
"PBS-2-L",0.194020224005729,0.282273517948607,2.2749222461907
"CC-FM-2-L",0.0608436628563661,0.218698288913042,3.05209908085963
"CC-FSPR-2-L",0.0575956247175475,0.207136547660682,3.04830588930405
"DLM-1-L",0.0415684878605751,0.107114562613246,2.72378342510181
"DLM-2-L",0.057048344739111,0.110724996448016,2.56517710174441
"Skate-1-L",3.38064342266676,0.611497058726687,0.411558526986634
"ES-FM-1-L",3.19707021977129,0.630025307142484,0.470765015320433
"Skate-2-L",2.9477952566851,0.631879542473066,0.423216450350062
"AIM-2-S",2.40357254080682,0.998669025424902,0.571150025921848
"ES-Fstable-2-S",2.39436133680038,0.989895697071569,0.571114830348165
"ES-FSPR-1-L",2.40817819579923,0.633895411653145,0.451670862411089
"ES-Fstable-1-S",3.19810717493745,1.64064034907411,0.867650725143904
"AIM-1-S",3.17067748280812,1.64810950279801,0.863760744707351
"ES-FSPR-1-S",3.97231255690311,1.55877747051537,0.822139694865156
"Skate-2-S",4.02882324313584,1.05536316601418,0.494613762734607
"ES-FM-1-S",4.86028932017575,1.56245481920002,0.815859330865574
"Skate-1-S",6.46098116157811,1.75066650533251,0.701804656027828
