"PROPED","PROPING","IAV","IBMlab","Fhist"
0.333333333333333,0.666666666666667,0.503400087306288,"AIM",1
0.5,0.833333333333333,0.422545876665198,"AIM",2
0,0,0.64565323852362,"CC-FM",1
0,0,0.502690220190879,"CC-FM",2
0,0,0.635990825451655,"CC-FSPR",1
0,0,0.501221285011174,"CC-FSPR",2
0,0,0.319613647591371,"DLM",1
0,0,0.341977557707597,"DLM",2
0.05,0.5,0.290977490444123,"Ensemble",1
0.25,0.6,0.274713933064708,"Ensemble",2
0.45,1,0.478442433890318,"ES-FM",1
0.25,0.666666666666667,0.365842865821434,"ES-FM",2
0,0,0.278132207868593,"ES-Frecent",1
0,0.333333333333333,0.294826683452887,"ES-Frecent",2
0.45,0.95,0.483781294527005,"ES-FSPR",1
0.25,0.65,0.361968781346284,"ES-FSPR",2
0.333333333333333,0.666666666666667,0.511890380006641,"ES-Fstable",1
0.5,0.833333333333333,0.428870762894171,"ES-Fstable",2
0,0,0.0702708009829582,"Islope",1
0.05,0.5,0.103285727065065,"Islope",2
0,0,0.162399406196073,"Ismooth",1
0,0.166666666666667,0.172650152180416,"Ismooth",2
0.2,0.4,0.573492496055723,"Itarget",1
0.3,0.333333333333333,0.628400501688737,"Itarget",2
0,0.2,0.324970603205628,"SCAA",1
0,0,0.22492377914023,"SCAA",2
0.6,1,0.51485508191024,"Skate",1
0.65,1,0.395813845486415,"Skate",2
