"PROPED","PROPING","IAV","IBMlab","Fhist","time.avg"
0.35,0.5,NA,"AIM",1,"L"
0.166666666666667,1,NA,"AIM",1,"S"
0.5,0.7,NA,"AIM",2,"L"
0.5,1,NA,"AIM",2,"S"
0,0,NA,"CC-FM",1,"L"
0,0,NA,"CC-FM",1,"S"
0,0,NA,"CC-FM",2,"L"
0,0,NA,"CC-FM",2,"S"
0,0,NA,"CC-FSPR",1,"L"
0,0,NA,"CC-FSPR",1,"S"
0,0,NA,"CC-FSPR",2,"L"
0,0,NA,"CC-FSPR",2,"S"
0,0,NA,"DLM",1,"L"
0,0,NA,"DLM",1,"S"
0,0,NA,"DLM",2,"L"
0,0.666666666666667,NA,"DLM",2,"S"
0.35,0.45,NA,"Ensemble",1,"L"
0,0.666666666666667,NA,"Ensemble",1,"S"
0.3,0.5,NA,"Ensemble",2,"L"
0.166666666666667,0.833333333333333,NA,"Ensemble",2,"S"
0.65,0.8,NA,"ES-FM",1,"L"
0.166666666666667,1,NA,"ES-FM",1,"S"
0.35,0.55,NA,"ES-FM",2,"L"
0,0.833333333333333,NA,"ES-FM",2,"S"
0,0,NA,"ES-Frecent",1,"L"
0,0,NA,"ES-Frecent",1,"S"
0,0,NA,"ES-Frecent",2,"L"
0,0.666666666666667,NA,"ES-Frecent",2,"S"
0.65,0.8,NA,"ES-FSPR",1,"L"
0.166666666666667,1,NA,"ES-FSPR",1,"S"
0.35,0.55,NA,"ES-FSPR",2,"L"
0.166666666666667,0.833333333333333,NA,"ES-FSPR",2,"S"
0.35,0.5,NA,"ES-Fstable",1,"L"
0.166666666666667,1,NA,"ES-Fstable",1,"S"
0.45,0.65,NA,"ES-Fstable",2,"L"
0.5,1,NA,"ES-Fstable",2,"S"
0,0.05,NA,"Islope",1,"L"
0,0,NA,"Islope",1,"S"
0,0.1,NA,"Islope",2,"L"
0.166666666666667,1,NA,"Islope",2,"S"
0,0,NA,"Ismooth",1,"L"
0,0,NA,"Ismooth",1,"S"
0,0,NA,"Ismooth",2,"L"
0,0.666666666666667,NA,"Ismooth",2,"S"
0.3,0.4,NA,"Itarget",1,"L"
0,0.833333333333333,NA,"Itarget",1,"S"
0.4,0.4,NA,"Itarget",2,"L"
0,0,NA,"Itarget",2,"S"
0,0.2,NA,"SCAA",1,"L"
0,0.333333333333333,NA,"SCAA",1,"S"
0,0.05,NA,"SCAA",2,"L"
0,0,NA,"SCAA",2,"S"
0.7,0.9,NA,"Skate",1,"L"
0.5,1,NA,"Skate",1,"S"
0.65,0.85,NA,"Skate",2,"L"
0.5,1,NA,"Skate",2,"S"
