"PROPED","PROPING","IAV","IBMlab","catch.mult"
0.25,0.65,0.401831161649334,"AIM",0.75
0.5,0.9,0.494279573327768,"AIM",1
0,0,0.537168251679523,"CC-FM",0.75
0,0,0.612188354391227,"CC-FM",1
0,0,0.538776729512243,"CC-FSPR",0.75
0,0,0.594921204497797,"CC-FSPR",1
0,0,0.313528860915319,"DLM",0.75
0,0.15,0.367901070936864,"DLM",1
0,0.333333333333333,0.253836178877554,"Ensemble",0.75
0.333333333333333,0.7,0.313325418540406,"Ensemble",1
0.166666666666667,0.6,0.364459925276887,"ES-FM",0.75
0.45,0.85,0.422368831985447,"ES-FM",1
0,0,0.279912353760187,"ES-Frecent",0.75
0,0.6,0.293972167924257,"ES-Frecent",1
0.166666666666667,0.55,0.364109787539748,"ES-FSPR",0.75
0.4,0.85,0.415979504516055,"ES-FSPR",1
0.25,0.65,0.41175985178582,"ES-Fstable",0.75
0.5,0.9,0.501678188439457,"ES-Fstable",1
0,0,0.0592573732244271,"Islope",0.75
0.166666666666667,0.833333333333333,0.165044704193956,"Islope",1
0,0,0.164780819805158,"Ismooth",0.75
0,0.333333333333333,0.170178501186129,"Ismooth",1
0.166666666666667,0.3,0.554279266809723,"Itarget",0.75
0.3,0.4,0.658173632330856,"Itarget",1
0,0,0.224886294596784,"SCAA",0.75
0,0,0.253776146037311,"SCAA",1
0.5,1,0.368474530382048,"Skate",0.75
0.666666666666667,1,0.470640724525345,"Skate",1
