"PROPED","PROPING","IAV","IBMlab","catch.mult","time.avg"
0.3,0.4,NA,"AIM",0.75,"L"
0.166666666666667,0.833333333333333,NA,"AIM",0.75,"S"
0.55,0.7,NA,"AIM",1,"L"
0.5,1,NA,"AIM",1,"S"
0,0,NA,"CC-FM",0.75,"L"
0,0,NA,"CC-FM",0.75,"S"
0,0.05,NA,"CC-FM",1,"L"
0,0,NA,"CC-FM",1,"S"
0,0,NA,"CC-FSPR",0.75,"L"
0,0,NA,"CC-FSPR",0.75,"S"
0,0,NA,"CC-FSPR",1,"L"
0,0,NA,"CC-FSPR",1,"S"
0,0,NA,"DLM",0.75,"L"
0,0,NA,"DLM",0.75,"S"
0,0.05,NA,"DLM",1,"L"
0,0.5,NA,"DLM",1,"S"
0.15,0.3,NA,"Ensemble",0.75,"L"
0,0.5,NA,"Ensemble",0.75,"S"
0.45,0.6,NA,"Ensemble",1,"L"
0,1,NA,"Ensemble",1,"S"
0.3,0.5,NA,"ES-FM",0.75,"L"
0,0.666666666666667,NA,"ES-FM",0.75,"S"
0.55,0.7,NA,"ES-FM",1,"L"
0.25,1,NA,"ES-FM",1,"S"
0,0,NA,"ES-Frecent",0.75,"L"
0,0,NA,"ES-Frecent",0.75,"S"
0.3,0.55,NA,"ES-Frecent",1,"L"
0,0.666666666666667,NA,"ES-Frecent",1,"S"
0.3,0.45,NA,"ES-FSPR",0.75,"L"
0,0.666666666666667,NA,"ES-FSPR",0.75,"S"
0.55,0.7,NA,"ES-FSPR",1,"L"
0.166666666666667,1,NA,"ES-FSPR",1,"S"
0.3,0.4,NA,"ES-Fstable",0.75,"L"
0.166666666666667,0.833333333333333,NA,"ES-Fstable",0.75,"S"
0.55,0.7,NA,"ES-Fstable",1,"L"
0.5,1,NA,"ES-Fstable",1,"S"
0,0,NA,"Islope",0.75,"L"
0,0,NA,"Islope",0.75,"S"
0.55,0.8,NA,"Islope",1,"L"
0,0.833333333333333,NA,"Islope",1,"S"
0,0,NA,"Ismooth",0.75,"L"
0,0,NA,"Ismooth",0.75,"S"
0,0.2,NA,"Ismooth",1,"L"
0,0.5,NA,"Ismooth",1,"S"
0.3,0.35,NA,"Itarget",0.75,"L"
0,0,NA,"Itarget",0.75,"S"
0.4,0.4,NA,"Itarget",1,"L"
0,0.5,NA,"Itarget",1,"S"
0,0,NA,"SCAA",0.75,"L"
0,0,NA,"SCAA",0.75,"S"
0,0.15,NA,"SCAA",1,"L"
0,0,NA,"SCAA",1,"S"
0.55,0.75,NA,"Skate",0.75,"L"
0.5,1,NA,"Skate",0.75,"S"
0.8,0.95,NA,"Skate",1,"L"
0.666666666666667,1,NA,"Skate",1,"S"
