"PROPED","PROPING","IAV","IBMlab","retro_type","Fhist"
0.833333333333333,1,0.945228003085321,"AIM","Catch",1
1,1,0.533771537416397,"AIM","Catch",2
0,0.2,0.324077701175634,"AIM","M",1
0,0.35,0.355402245754919,"AIM","M",2
0,0.333333333333333,0.795738452691378,"CC-FM","Catch",1
0,0,0.613865322529429,"CC-FM","Catch",2
0,0,0.540484192026063,"CC-FM","M",1
0,0,0.421931563658245,"CC-FM","M",2
0,0.333333333333333,0.766429349971221,"CC-FSPR","Catch",1
0,0,0.599058147150863,"CC-FSPR","Catch",2
0,0,0.537386738608631,"CC-FSPR","M",1
0,0,0.426263487079364,"CC-FSPR","M",2
0,0,0.324802286245973,"DLM","Catch",1
0.166666666666667,0.45,0.356292363478565,"DLM","Catch",2
0,0,0.314848597510474,"DLM","M",1
0,0,0.329029772472737,"DLM","M",2
0.666666666666667,1,0.593294665735432,"Ensemble","Catch",1
0.833333333333333,1,0.386779886142229,"Ensemble","Catch",2
0,0,0.183491603487166,"Ensemble","M",1
0,0.05,0.21337549920167,"Ensemble","M",2
0.833333333333333,1,1.29097597390408,"ES-FM","Catch",1
1,1,0.47707617204167,"ES-FM","Catch",2
0,0.1,0.294306693452396,"ES-FM","M",1
0,0,0.306383057329896,"ES-FM","M",2
0,0,0.283155558131096,"ES-Frecent","Catch",1
0.333333333333333,0.75,0.301918959638042,"ES-Frecent","Catch",2
0,0,0.273459249426593,"ES-Frecent","M",1
0,0,0.288222617326848,"ES-Frecent","M",2
0.833333333333333,1,1.18325920209844,"ES-FSPR","Catch",1
1,1,0.455200475386949,"ES-FSPR","Catch",2
0,0.1,0.295469994493329,"ES-FSPR","M",1
0,0,0.308191929924428,"ES-FSPR","M",2
0.833333333333333,1,0.947035154584172,"ES-Fstable","Catch",1
1,1,0.534747936677298,"ES-Fstable","Catch",2
0,0.2,0.328489875878412,"ES-Fstable","M",1
0,0.333333333333333,0.358229800229627,"ES-Fstable","M",2
0,0.166666666666667,0.0690275048764756,"Islope","Catch",1
0.55,1,0.0962990356275186,"Islope","Catch",2
0,0,0.0712836326101721,"Islope","M",1
0,0.2,0.105963216712337,"Islope","M",2
0.55,0.85,0.925733015853384,"Itarget","Catch",1
0.65,0.6,0.798103790535593,"Itarget","Catch",2
0,0,0.344488957226071,"Itarget","M",1
0,0,0.48873657738137,"Itarget","M",2
0,0,0.161869017625936,"PBS","Catch",1
0.166666666666667,0.666666666666667,0.169586101365471,"PBS","Catch",2
0,0,0.162880494944336,"PBS","M",1
0,0,0.175456648072302,"PBS","M",2
0.666666666666667,0.75,0.763490896506135,"SCAA","Catch",1
0.166666666666667,0.4,0.239660136025888,"SCAA","Catch",2
0,0,0.177177433561086,"SCAA","M",1
0,0,0.214465886104017,"SCAA","M",2
0.833333333333333,1,1.43589341479895,"Skate","Catch",1
1,1,0.567240856654294,"Skate","Catch",2
0,0.45,0.223772584221746,"Skate","M",1
0.1,0.55,0.300348983895397,"Skate","M",2
