"PROPED","PROPING","IAV","IBMlab","retro_type"
0.833333333333333,1,0.702637947542961,"AIM","Catch"
0,0.3,0.338792905463461,"AIM","M"
0,0.166666666666667,0.693385402884627,"CC-FM","Catch"
0,0,0.47361951868986,"CC-FM","M"
0,0.166666666666667,0.676164416964241,"CC-FSPR","Catch"
0,0,0.47569468317838,"CC-FSPR","M"
0,0,0.342270055723503,"DLM","Catch"
0,0,0.321860041462954,"DLM","M"
0.666666666666667,1,0.46771244278643,"Ensemble","Catch"
0,0,0.198846585897823,"Ensemble","M"
0.95,1,0.724145211884222,"ES-FM","Catch"
0,0.05,0.300170797153419,"ES-FM","M"
0,0.333333333333333,0.292339303840445,"ES-Frecent","Catch"
0,0,0.281201573915055,"ES-Frecent","M"
0.95,1,0.679689949378245,"ES-FSPR","Catch"
0,0.05,0.301297587884522,"ES-FSPR","M"
0.833333333333333,1,0.710839895723238,"ES-Fstable","Catch"
0,0.3,0.342714981900571,"ES-Fstable","M"
0,0.65,0.078751285443456,"Islope","Catch"
0,0,0.0876355456852385,"Islope","M"
0,0.15,0.165323232622735,"Ismooth","Catch"
0,0,0.169223074808607,"Ismooth","M"
0.6,0.666666666666667,0.85612180631097,"Itarget","Catch"
0,0,0.409544186864631,"Itarget","M"
0.5,0.55,0.428213881874369,"SCAA","Catch"
0,0,0.1942380062728,"SCAA","M"
1,1,0.914221544512282,"Skate","Catch"
0,0.5,0.259365803743683,"Skate","M"
