"PROPED","PROPING","IAV","IBMlab","retro_type","time.avg"
0.9,0.95,NA,"AIM","Catch","L"
0.833333333333333,1,NA,"AIM","Catch","S"
0,0.25,NA,"AIM","M","L"
0,0.333333333333333,NA,"AIM","M","S"
0,0.1,NA,"CC-FM","Catch","L"
0.166666666666667,0.333333333333333,NA,"CC-FM","Catch","S"
0,0,NA,"CC-FM","M","L"
0,0,NA,"CC-FM","M","S"
0,0.1,NA,"CC-FSPR","Catch","L"
0.166666666666667,0.333333333333333,NA,"CC-FSPR","Catch","S"
0,0,NA,"CC-FSPR","M","L"
0,0,NA,"CC-FSPR","M","S"
0,0,NA,"DLM","Catch","L"
0,0.666666666666667,NA,"DLM","Catch","S"
0,0,NA,"DLM","M","L"
0,0,NA,"DLM","M","S"
0.9,0.9,NA,"Ensemble","Catch","L"
0.5,1,NA,"Ensemble","Catch","S"
0,0.05,NA,"Ensemble","M","L"
0,0,NA,"Ensemble","M","S"
1,1,NA,"ES-FM","Catch","L"
0.833333333333333,1,NA,"ES-FM","Catch","S"
0,0.15,NA,"ES-FM","M","L"
0,0,NA,"ES-FM","M","S"
0,0,NA,"ES-Frecent","Catch","L"
0,0.666666666666667,NA,"ES-Frecent","Catch","S"
0,0,NA,"ES-Frecent","M","L"
0,0,NA,"ES-Frecent","M","S"
1,1,NA,"ES-FSPR","Catch","L"
0.833333333333333,1,NA,"ES-FSPR","Catch","S"
0,0.15,NA,"ES-FSPR","M","L"
0,0,NA,"ES-FSPR","M","S"
0.85,0.9,NA,"ES-Fstable","Catch","L"
0.833333333333333,1,NA,"ES-Fstable","Catch","S"
0,0.25,NA,"ES-Fstable","M","L"
0,0.333333333333333,NA,"ES-Fstable","M","S"
0,0.2,NA,"Islope","Catch","L"
0,1,NA,"Islope","Catch","S"
0,0.05,NA,"Islope","M","L"
0,0,NA,"Islope","M","S"
0,0,NA,"Ismooth","Catch","L"
0,0.666666666666667,NA,"Ismooth","Catch","S"
0,0,NA,"Ismooth","M","L"
0,0,NA,"Ismooth","M","S"
0.55,0.55,NA,"Itarget","Catch","L"
0.666666666666667,1,NA,"Itarget","Catch","S"
0,0.25,NA,"Itarget","M","L"
0,0,NA,"Itarget","M","S"
0.35,0.5,NA,"SCAA","Catch","L"
0.666666666666667,1,NA,"SCAA","Catch","S"
0,0,NA,"SCAA","M","L"
0,0,NA,"SCAA","M","S"
1,1,NA,"Skate","Catch","L"
0.833333333333333,1,NA,"Skate","Catch","S"
0.15,0.45,NA,"Skate","M","L"
0,0.666666666666667,NA,"Skate","M","S"
