"PROPED","PROPING","IAV","IBMlab","time.avg"
0.45,0.6,NA,"AIM","L"
0.333333333333333,1,NA,"AIM","S"
0,0,NA,"CC-FM","L"
0,0,NA,"CC-FM","S"
0,0,NA,"CC-FSPR","L"
0,0,NA,"CC-FSPR","S"
0,0,NA,"DLM","L"
0,0,NA,"DLM","S"
0.35,0.45,NA,"Ensemble","L"
0,0.666666666666667,NA,"Ensemble","S"
0.45,0.6,NA,"ES-FM","L"
0.166666666666667,1,NA,"ES-FM","S"
0,0,NA,"ES-Frecent","L"
0,0.333333333333333,NA,"ES-Frecent","S"
0.45,0.6,NA,"ES-FSPR","L"
0.166666666666667,0.833333333333333,NA,"ES-FSPR","S"
0.45,0.6,NA,"ES-Fstable","L"
0.333333333333333,1,NA,"ES-Fstable","S"
0,0.1,NA,"Islope","L"
0,0.333333333333333,NA,"Islope","S"
0,0,NA,"Ismooth","L"
0,0,NA,"Ismooth","S"
0.35,0.4,NA,"Itarget","L"
0,0.166666666666667,NA,"Itarget","S"
0,0.05,NA,"SCAA","L"
0,0,NA,"SCAA","S"
0.675,0.9,NA,"Skate","L"
0.5,1,NA,"Skate","S"
