"","F","Catch","SSB"
"ES-FM-S-0.75",-0.0954988445274798,0.712347973325857,-0.496609222820146
"ES-FSPR-S-0.75",-0.109981222097837,0.715188367965728,-0.493039046266599
"ES-Fstable-L-0.75",-0.182711072093299,0.268765751214036,-0.414173935447594
"AIM-L-0.75",-0.175855404548256,0.261765319298264,-0.429220865710897
"Islope-S-1",-0.108212591574929,0.899662623763513,-0.252436548842104
"PlanB-S-1",-0.351579769693039,0.582622819694938,-0.149481431947432
"DLM-S-1",-0.341008943064886,0.542898670894424,-0.148545195951334
"Ensemble-S-0.75",-0.358371823482391,0.414063164580367,-0.25980845351326
"ES-Frecent-S-1",-0.253230389439424,0.747024341816014,-0.194487176626608
"Itarget-S-1",-0.339321967288854,0.399207492594195,-0.432979923216336
"ES-FM-L-0.75",0.0831746881971447,-0.043408770802142,-0.431808329465279
"ES-FSPR-L-0.75",-0.0411439522984015,-0.0371393115594015,-0.462982887726095
"Itarget-L-0.75",0.0667824126680897,0.287367431111338,-0.148740137414701
"ES-Fstable-S-0.75",0.357958049598583,1.22250456619954,-0.589474040137366
"AIM-S-0.75",0.324877222371123,1.23093793284686,-0.591228376722466
"Ensemble-S-1",0.380774896974957,1.23225158451746,-0.481079602534989
"Itarget-L-1",0.363054539657579,0.318402768869405,-0.324473869544714
"ES-Frecent-L-1",0.277783361627737,-0.0584126900489334,-0.330649463582061
"AIM-L-1",0.59280721115153,-0.0517400090691845,-0.871002754068647
"ES-Fstable-L-1",0.570656323146179,-0.0347773517792306,-0.85760932118571
"ES-FSPR-L-1",0.5051497471266,-0.254350785082986,-0.845329247820721
"ES-FM-L-1",0.692344835129425,-0.261641044091432,-0.830391070108088
"Ensemble-L-1",0.599285283351994,-0.429387089682657,-0.67686750865485
"CC-FM-S-1",-0.761996054686818,-0.487661039803086,-0.0624013628633391
"CC-FSPR-S-1",-0.767190711956111,-0.493056373743862,-0.059304177044427
"DLM-S-0.75",-0.740057951932148,-0.413656977870287,0.0131571208244585
"ES-Frecent-S-0.75",-0.658816240474473,-0.0883617063999231,0.00166842781071176
"PlanB-S-0.75",-0.693954907110462,-0.199528535927625,0.0242362964982576
"Itarget-S-0.75",-0.67783880756102,-0.176016749750906,-0.261628030926852
"Ensemble-L-0.75",-0.492870527099406,-0.038848548389959,0.0432228298180415
"Islope-S-0.75",-0.571406504137581,0.121643836942162,-0.0525851978493241
"PlanB-L-1",-0.568860302648778,-0.112120222823639,0.316266378597189
"CC-FM-S-0.75",-0.918318814074379,-0.993081490845355,0.0717456967924154
"CC-FSPR-S-0.75",-0.921636220697399,-0.996480707430646,0.0689865977062112
"DLM-L-1",-0.887435317647521,-0.888987858334616,0.761618432461507
"PlanB-L-0.75",-1.19780573897055,-1.80711627085898,2.42981813424956
"CC-FM-L-0.75",-1.1977808896132,-1.83188932518567,2.41416730532604
"CC-FSPR-L-0.75",-1.19917424205873,-1.85816576761673,2.43081580920994
"ES-Frecent-L-0.75",-1.17873995309717,-1.63976493016555,2.25153110334024
"DLM-L-0.75",-1.23995919577351,-2.29339157251855,2.79998070417999
"CC-FM-L-1",-0.953639974672719,-0.787618991432203,1.46014617874486
"CC-FSPR-L-1",-0.975862981839221,-0.813028006901205,1.46328183661489
"Islope-L-0.75",-1.1198474446942,-1.27777758992792,1.80748170207584
"ES-FM-S-1",0.975060497116679,1.36904279890466,-0.645196176268861
"ES-FSPR-S-1",0.83697628466451,1.34280827187412,-0.645708505129516
"Islope-L-1",1.45717154732731,-0.500341202581699,-0.834577257419778
"Skate-L-0.75",1.04104269181605,-0.354913016191549,-0.852238496034814
"ES-Fstable-S-1",1.72332535864514,1.79143330980323,-0.740398462810688
"AIM-S-1",1.68436794688499,1.79963917555383,-0.741982729436831
"Skate-S-0.75",1.76980210488663,1.58624365672808,-0.740412675322375
"Skate-S-1",3.47185516912759,2.1090154915074,-0.850126030625094
"Skate-L-1",2.30585858938435,-0.732173413189503,-1.15914704321026
