"","F","Catch","SSB"
"ES-FM-2-0.75",-0.235579691845797,-0.0549389354479525,-0.550983187456959
"Itarget-2-1",-0.208367922956104,-0.312288181299918,-0.586249600418596
"PlanB-2-1",-0.143427828306345,-0.0631586481293833,-0.507748693344942
"ES-Fstable-2-0.75",-0.00601209502553526,0.311031856331957,-0.802501809505199
"AIM-2-0.75",-0.00658505800432856,0.322100135452826,-0.811647867049876
"Itarget-1-0.75",-0.146364008568181,0.836152426339737,-0.0398686250870434
"Islope-1-1",-0.105941136585191,0.726292771876485,-0.164341379001886
"ES-Fstable-1-0.75",-0.180598350977522,1.20378984938824,-0.393827975502018
"AIM-1-0.75",-0.17898959238397,1.21211149687944,-0.403301078258676
"ES-FSPR-2-0.75",-0.318022264155344,-0.0380109243986372,-0.556221706522768
"Ensemble-2-0.75",-0.395920943378854,-0.0532067795014398,-0.384830292036272
"DLM-2-1",-0.321100990358761,-0.31932010302976,-0.258246869639017
"Itarget-2-0.75",-0.472842143137594,-0.553519655482206,-0.416935817603447
"ES-Frecent-1-1",-0.46318067954469,0.672703124290949,0.19251196540095
"Ensemble-1-0.75",-0.556973354874527,0.456347932088086,0.098495940521139
"ES-FM-2-1",0.341429941921266,0.120225861098732,-0.889696509915803
"Ensemble-2-1",0.311039805830858,0.14323967689318,-0.883981868838369
"ES-Frecent-2-1",0.210776475071284,0.0939923673622951,-0.779627381748749
"ES-FSPR-2-1",0.197021354400639,0.100200265125952,-0.885307462666202
"Itarget-1-1",0.339994331553473,1.14042743682586,-0.298652565132312
"Ensemble-1-1",0.375025941871383,0.946707901487411,-0.484540560240863
"Islope-2-1",0.578074648605753,0.00519374056120429,-0.952805058094923
"AIM-2-1",0.918707167321016,0.372198549254989,-1.19221994535808
"ES-Fstable-2-1",0.907353487626937,0.371874991872095,-1.18080126280735
"Skate-2-0.75",0.959157619489492,0.239037772656405,-1.1150846713494
"ES-FM-1-0.75",1.02224881113954,0.859970193896738,-0.638404843765542
"ES-Fstable-1-1",0.792398237218922,1.52893417434138,-0.765842139916067
"AIM-1-1",0.751928476707018,1.52261870060048,-0.787036239411903
"ES-FSPR-1-0.75",0.715708574986755,0.850879187115481,-0.622722579967614
"Skate-1-0.75",1.48253082870609,1.25296897476898,-0.820759973290535
"CC-FM-2-1",-0.932256045206428,-1.29197332294483,0.952333969644001
"CC-FSPR-2-1",-0.940943394666476,-1.28961520703931,0.94183639128666
"ES-Frecent-2-0.75",-0.891262578522027,-1.34939155598704,0.92963744308602
"PlanB-2-0.75",-0.944399402819369,-1.5786496617013,1.13824672170475
"CC-FSPR-1-0.75",-0.981634272447694,-0.828204647476852,1.47394477740952
"CC-FM-1-0.75",-0.983520359590838,-0.865355158313689,1.45544699711074
"Islope-1-0.75",-0.918726986556724,-0.728259928134606,1.41258180599771
"ES-Frecent-1-0.75",-1.00694796898451,-1.19036682050596,1.85053393060531
"PlanB-1-0.75",-1.03761190458114,-1.43581065412706,1.97698441723396
"DLM-1-0.75",-1.06554491271101,-1.79635618087847,2.20509141632086
"CC-FM-2-0.75",-1.08355866753623,-1.9412449709789,1.74240601606377
"CC-FSPR-2-0.75",-1.07988523623195,-1.95679432944256,1.6985526523201
"DLM-2-0.75",-0.991143256787296,-1.89045694946846,1.40568196248149
"CC-FM-1-1",-0.654340532985875,0.120053830611495,0.612399344355082
"CC-FSPR-1-1",-0.664339192517336,0.0641489848591432,0.643343585495525
"PlanB-1-1",-0.627977988850266,0.467705568917173,0.509227869096713
"DLM-1-1",-0.749384838368618,0.00359290858896202,0.760920714571736
"Islope-2-0.75",-0.74281931800037,-1.04436655552922,0.408285501577675
"ES-FM-1-1",2.85794568134559,1.3339930279584,-0.885222890298231
"Skate-1-1",2.84720393778231,1.67628257724035,-1.10693108607279
"ES-FSPR-1-1",2.08516221765597,1.30063637470836,-0.874297807811801
"Skate-2-1",2.3424953782326,0.32587651042477,-1.36782367417051
