"","F","Catch","SSB"
"ES-FM-2-S",-0.071228263288793,0.0323139516633182,-0.662202882905649
"ES-FSPR-2-S",-0.0791451223219316,0.025296432816951,-0.675118565955446
"Ensemble-2-S",-0.111052381224918,0.11389549463635,-0.686794586194779
"ES-Frecent-2-S",-0.127069280467501,0.114241399885265,-0.672248162051414
"ES-Fstable-1-L",-0.0435803713602255,0.192231265122613,-0.594067929105398
"AIM-1-L",-0.0368092177916786,0.175166347496992,-0.6124842207191
"ES-FSPR-2-L",-0.0359027819309647,0.102084016405504,-0.548376157047241
"DLM-2-S",-0.192229287344511,0.000110818198362403,-0.669263304185092
"PlanB-2-S",-0.218640239472189,0.00869743792018344,-0.637155495033107
"Ensemble-1-L",-0.0391747245495474,-0.329718867735961,-0.422152804970444
"ES-Fstable-2-L",0.248133975315072,0.0521885975999535,-0.780370777117722
"AIM-2-L",0.24563812227364,0.0307497898209133,-0.794532221468008
"ES-FM-2-L",0.0857700035560785,0.0965153419963512,-0.536770245660577
"Islope-2-S",0.0388123316181053,0.20618495483579,-0.734668081490651
"Itarget-2-L",0.077147855689883,0.147140321692256,-0.374755355809462
"Ensemble-2-L",0.0155381931518639,0.00924577516920294,-0.320235445099668
"Itarget-1-L",0.094898234716997,0.380432026598803,-0.166328752201117
"Itarget-1-S",0.0488207506057715,1.51034932402576,-0.200293708649859
"Ensemble-1-S",-0.222877687324854,1.49252852038971,-0.0862837673054652
"PlanB-1-S",-0.690184838527643,0.287410971358608,0.390651358913281
"DLM-1-S",-0.70400232982235,0.220363450238311,0.375924810885212
"ES-Frecent-1-S",-0.661403324153422,0.415236832968722,0.358674267183694
"CC-FM-1-S",-0.740350155541484,0.151383613041523,0.31859636416807
"CC-FSPR-1-S",-0.7417811006088,0.129696609323202,0.322772772154633
"Islope-1-S",-0.59954251628276,0.596927419416371,0.299069046803388
"Islope-1-L",-0.697644772239084,-0.799435579503971,0.715102096600604
"Islope-2-L",-0.723262422651566,-1.0249791860513,0.615860566604263
"CC-FM-2-S",-0.81688114467855,-1.02340646367821,-0.327117353040445
"CC-FSPR-2-S",-0.823811232251353,-1.02826158918924,-0.334285462621372
"Itarget-2-S",-0.671263010328978,-0.772450220057999,-0.502567176838039
"CC-FSPR-1-L",-0.901820873038045,-0.706775269754284,1.46690508504926
"CC-FM-1-L",-0.896587295701371,-0.735316826418019,1.45456556975638
"ES-Frecent-1-L",-0.919253038266548,-1.06081981883509,1.43442516274304
"ES-Frecent-2-L",-0.898789170436129,-1.1650055862016,1.17446413828267
"PlanB-1-L",-0.985395417665331,-1.1898931410027,1.74534870468219
"PlanB-2-L",-0.973813217557679,-1.29603279975834,1.55213455526124
"DLM-2-L",-1.02576752424793,-1.60967803762046,1.65524141788228
"DLM-1-L",-1.04583663921927,-1.58560780093137,1.94935201680017
"CC-FM-2-L",-1.07218981728365,-1.45796993143391,2.66582472247144
"CC-FSPR-2-L",-1.07459342875514,-1.48745752962316,2.66038634607483
"Skate-1-L",1.38452665114472,-0.456157830584974,-1.11997233314214
"ES-FM-1-L",1.24867890629724,-0.408902531187559,-1.0350867785997
"Skate-2-L",1.06421057950403,-0.404173403871605,-1.10325812972682
"AIM-2-S",0.661475172153031,0.531303412055299,-0.891162733575977
"ES-Fstable-2-S",0.654658701819299,0.508927510742625,-0.891213194190575
"ES-FSPR-1-L",0.664883446532932,-0.399032038130337,-1.06246245656745
"ES-Fstable-1-S",1.24944627331273,2.16861668759053,-0.466063610422642
"AIM-1-S",1.22914776700104,2.18766636177167,-0.471640755019606
"ES-FSPR-1-S",1.82237333200062,1.95982982609046,-0.531313706345052
"Skate-2-S",1.86419234024046,0.675898763299686,-1.00089434114282
"ES-FM-1-S",2.47949342831576,1.96920870579793,-0.540317992798038
"Skate-1-S",3.66403656108492,2.44923247160089,-0.703840515315778
