"","Catch","SSB","F"
"ES-FM-M-2",0.395524714783839,0.548463290284722,-0.612634291640568
"ES-FSPR-M-2",0.401655949990335,0.545152895154055,-0.613818694375249
"Ensemble-M-2",0.546270397339159,0.481587972878823,-0.570292624128664
"ES-Frecent-M-2",-0.179820963862187,0.45743714862809,-0.578212156092338
"PlanB-Catch-1",-0.308305303024377,0.436504312216953,-0.583936185543875
"PlanB-M-2",-0.330147924318134,0.661167236385204,-0.615389795599248
"DLM-M-2",-0.508702171443887,0.751387551735715,-0.632884011756032
"Itarget-M-2",-0.43062526784336,0.609425036894776,-0.657438678347081
"DLM-Catch-1",-0.788343233067204,0.487027510371505,-0.626151761280112
"Ensemble-M-1",0.653807345838406,0.909009912554467,-0.619300028612788
"Islope-M-1",-0.0118026560840747,0.853448513089676,-0.623020083222157
"ES-Frecent-M-1",-0.154137581573475,1.1788198383672,-0.666687903052437
"Itarget-M-1",0.122525732114171,1.01856055876568,-0.662118739345394
"CC-FM-Catch-2",-1.47967074078653,-0.099187142151429,-0.62720132733882
"CC-FSPR-Catch-2",-1.50838682928817,-0.129572696465627,-0.628108978549306
"PlanB-M-1",-0.281469027549684,1.36517580824297,-0.685146023681558
"DLM-M-1",-0.574830221108567,1.37214973150833,-0.692871571744027
"CC-FM-M-1",-0.884645089891014,1.65966615081623,-0.733705086437973
"CC-FSPR-M-1",-0.889834102094367,1.63356889241809,-0.735102569213657
"CC-FM-M-2",-2.02870096840137,1.88934238576782,-0.777551890973947
"CC-FSPR-M-2",-2.01308069032907,1.85326948382143,-0.774565701786152
"AIM-M-2",1.07148471238362,0.0390197286138633,-0.436683950039614
"ES-Fstable-M-2",1.05078158223062,0.0503457336543986,-0.441359516926846
"CC-FM-Catch-1",0.329121538319716,-0.0415891696620428,-0.422935821041715
"CC-FSPR-Catch-1",0.277893638338897,-0.00244445522529217,-0.461111760594628
"Islope-M-2",-0.0623654701252323,0.246249456759748,-0.509448503020302
"ES-Frecent-Catch-1",-0.291034404619372,0.264613797572646,-0.551124365765901
"Islope-Catch-1",-0.210314989093734,0.0210724919598382,-0.491476402791947
"ES-Fstable-M-1",1.53630894421957,0.5127809994041,-0.523757959969154
"AIM-M-1",1.55479617325176,0.509366141570019,-0.525345785583935
"ES-FM-M-1",1.35168599681105,0.61252621500876,-0.553581158124749
"ES-FSPR-M-1",1.32709259301002,0.619332578831326,-0.553901490813766
"Skate-M-1",1.88057988013907,0.265129066460031,-0.403809175025417
"Skate-M-2",1.19494519752081,-0.187142761787259,-0.270280479364699
"PlanB-Catch-2",-1.25571782505823,-0.766777383766891,-0.353058394279367
"DLM-Catch-2",-1.3847505791592,-0.740623212976989,-0.376612790749025
"ES-Frecent-Catch-2",-1.20048486025651,-0.885405465801131,-0.26552005642052
"Islope-Catch-2",-1.15300261450084,-1.03569448837528,-0.0843015795715403
"AIM-Catch-2",-0.382982559109537,-1.38844522025567,1.24897445122729
"ES-Fstable-Catch-2",-0.364437106376402,-1.38462999222625,1.22193094110904
"Itarget-Catch-1",2.06177293704508,-0.922652438352815,1.14317564022887
"ES-FSPR-Catch-2",-0.352537015676648,-1.34095490513154,0.982508352761939
"ES-FM-Catch-2",-0.35345985626675,-1.34858581996825,0.93585735082645
"AIM-Catch-1",1.39446125125272,-1.2119223280758,1.56898491689874
"ES-Fstable-Catch-1",1.41650941721831,-1.20144224387155,1.53253831121342
"Ensemble-Catch-1",0.976848887108705,-1.04179100272825,1.44465918148635
"Ensemble-Catch-2",-0.538596752858263,-1.21237008809452,0.569109832299615
"Itarget-Catch-2",-0.45280043768176,-1.06982813410595,0.262391048976225
"ES-FM-Catch-1",0.484597878657238,-1.447270937096,2.50757931644414
"ES-FSPR-Catch-1",0.477260853680673,-1.44438466994657,2.50757931644414
"Skate-Catch-1",0.703128976216918,-1.41305823548572,2.50757931644414
"Skate-Catch-2",-0.834067356022741,-1.53582764818563,2.50757931644414
