"","Catch","SSB","F"
"ES-FM-M-S",0.486408197844647,0.276667688951053,-0.571329470240705
"ES-FSPR-M-S",0.461800778909342,0.273956674622382,-0.572109919850585
"Ensemble-M-S",0.494822246747139,0.237767791775808,-0.558951109437585
"ES-Frecent-M-S",0.462453223921837,0.24135568976101,-0.566210712601308
"PlanB-M-S",0.344960099085747,0.273495547679885,-0.580412009586826
"DLM-M-S",0.293606219932021,0.256852657577576,-0.58334452963539
"ES-FM-M-L",0.803842147868985,0.463532486392019,-0.539349489718433
"ES-FSPR-M-L",0.791373590547366,0.46793811210867,-0.541320665366183
"Itarget-M-L",0.472516426074306,0.635905072076915,-0.507147515863333
"Ensemble-M-L",0.458182044580341,0.743195013353768,-0.580710059702062
"CC-FM-Catch-L",-0.443618652248321,0.913579896453058,-0.616852758906973
"CC-FSPR-Catch-L",-0.463772521942689,0.946502057020801,-0.627072688708642
"Islope-M-L",-0.679729893489195,0.751234558626795,-0.610452424376223
"ES-Frecent-Catch-L",-1.19488352081144,0.776752410171635,-0.651235766726216
"CC-FM-M-S",-0.624497800547631,0.501835901052499,-0.676361328523049
"CC-FSPR-M-S",-0.635010745220232,0.498665296792644,-0.678728443018536
"Itarget-M-S",-0.624852998114153,0.485980414351337,-0.679456833969329
"Islope-Catch-L",-1.0778120881867,0.104717153727683,-0.524707365835811
"ES-Fstable-M-L",0.772955484540743,0.196076047605389,-0.48004120463091
"AIM-M-L",0.789969781650335,0.188402002431162,-0.481736237116262
"Islope-M-S",0.6487435712463,0.181365277479163,-0.53244938653232
"AIM-M-S",1.14585901279338,0.0445927278864857,-0.449964828107093
"ES-Fstable-M-S",1.1368875652234,0.04293913324842,-0.451916304849605
"Skate-M-S",1.52918122264292,-0.0866932225903159,-0.33813499186566
"Skate-M-L",0.736993605060555,-0.0939635563268281,-0.319604391711961
"PlanB-Catch-S",0.0427859942755304,-0.608950703617257,-0.389637336649809
"DLM-Catch-S",0.00977437936531407,-0.64517326699232,-0.376528005031335
"ES-Frecent-Catch-S",0.131615630958362,-0.643076533705784,-0.356568518992486
"Islope-Catch-S",0.239689617934708,-0.662435024791651,-0.313058463000201
"CC-FM-Catch-S",-0.476329909843069,-0.665049657257964,-0.505871741472853
"CC-FSPR-Catch-S",-0.483775486139704,-0.664801367484922,-0.508410573701281
"ES-Frecent-M-L",-0.91336812322966,1.25485106922702,-0.684451804484331
"PlanB-Catch-L",-1.28152875907423,1.0829863258247,-0.692013324177675
"DLM-Catch-L",-1.6978832550627,1.22837245807199,-0.732640631773349
"PlanB-M-L",-1.09639982190402,1.57603385533651,-0.711445477788385
"DLM-M-L",-1.32273137748997,1.66200528066017,-0.725977716870839
"CC-FM-M-L",-1.44535207089808,2.4433429940762,-0.749109165738378
"CC-FSPR-M-L",-1.4552234601742,2.44503904666787,-0.749302989258545
"ES-FSPR-Catch-S",1.52764141984,-1.1421400568771,2.21367042085047
"ES-FM-Catch-S",1.53936077546587,-1.15192763738057,2.21367042085047
"AIM-Catch-S",1.50304703269837,-1.16638587346694,2.21367042085047
"ES-Fstable-Catch-S",1.4901108064269,-1.163082370752,2.21367042085047
"Skate-Catch-S",1.60563928915855,-1.22578788010997,2.21367042085047
"ES-FM-Catch-L",-1.33183863657689,-1.49508143022172,1.7001906846981
"ES-FSPR-Catch-L",-1.26770554126037,-1.48244412483346,1.63444378980753
"Skate-Catch-L",-1.70652444775535,-1.56245903516015,2.05783523728219
"Ensemble-Catch-S",1.15068991250538,-0.949474211701417,0.546533315026297
"Itarget-Catch-L",0.175069261975395,-0.913041291637583,0.564096946673966
"AIM-Catch-L",-0.583570279093117,-1.27360014752427,0.655339578749046
"ES-Fstable-Catch-L",-0.555220308135826,-1.26117673012456,0.644917280483477
"Ensemble-Catch-L",-1.22365651712703,-1.32770216676316,0.96583978130696
"Itarget-Catch-S",1.33930687505084,-1.01149435169068,1.37706746754054
