"","Catch","SSB","F"
"ES-FM-M",1.03868802418606,1.57795919592311,0.621788931635737
"ES-FSPR-M",1.03610467698563,1.58096502821013,0.616400928011478
"Ensemble-M",0.962569241165299,1.66646984459568,0.581597782067753
"Islope-M",0.792609141443681,1.57608154097408,0.627213470373185
"PlanB-M",0.720969436158349,1.90261507702512,0.41479062408401
"DLM-M",0.657032329292407,1.94016410479226,0.390061599236189
"ES-Frecent-M",0.757449083652769,1.77557730717793,0.489101485883393
"Itarget-M",0.766216611563432,1.73851822796282,0.419474721366864
"CC-FM-M",0.38813422664872,2.37959390791589,0.166510886849664
"CC-FSPR-M",0.394141195545831,2.36325672257968,0.167030009312614
"CC-FM-Catch",0.591864622395733,1.14640790959824,0.667352918495631
"CC-FSPR-Catch",0.589846956120303,1.15795510939293,0.646219985046056
"DLM-Catch",0.500156568126505,1.17589759537647,0.697856788976052
"PlanB-Catch",0.578711936891387,1.17631118262584,0.781674071062755
"ES-Frecent-Catch",0.587743677782476,1.0360055507046,0.937402862931349
"Islope-Catch",0.611100139501122,0.869333538567498,1.20476020610044
"AIM-M",1.14731843243273,1.37602406912543,0.878847227404561
"ES-Fstable-M",1.14142156825722,1.3785605720015,0.879706709871695
"Skate-M",1.20690672357601,1.20874254829043,1.28520543594271
"ES-FM-Catch",0.742807462664165,0.248656961798306,8.01206687590835
"ES-FSPR-Catch",0.743385693858341,0.253725504163956,7.89343705591923
"Skate-Catch",0.668510063756744,0.178475977991181,8.72985234370611
"AIM-Catch",0.871941917063847,0.311324848206756,5.75766065831317
"ES-Fstable-Catch",0.876468209638509,0.317365484447986,5.6800609212366
"Ensemble-Catch",0.775054754827955,0.418505905309809,4.62687718225721
"Itarget-Catch",0.977895617208264,0.51186215130639,4.10590479646558
