"","Catch","SSB","F"
"ES-FM-M",1.1776219085292,0.572323364303931,-0.573599736656291
"ES-FSPR-M",1.1661266028517,0.576905878297053,-0.575554246801935
"Ensemble-M",0.838910689813247,0.707261460429215,-0.588179164413549
"Islope-M",0.0826270207207664,0.569460802704829,-0.571631973318114
"PlanB-M",-0.236153323928578,1.06727450463334,-0.648688827246253
"DLM-M",-0.520658862881152,1.12451952988444,-0.657659335309636
"ES-Frecent-M",-0.0738272150390852,0.873600239940085,-0.621732398957207
"Itarget-M",-0.0348137160589897,0.817102161251923,-0.646989660671586
"CC-FM-M",-1.7171940732774,1.79444819839491,-0.738752847099087
"CC-FSPR-M",-1.69046443211414,1.76954149261006,-0.738564534285767
"CC-FM-Catch",-0.810640291221604,-0.0855941838152693,-0.55707130037375
"CC-FSPR-Catch",-0.81961844583722,-0.0679900064734198,-0.564737318386145
"DLM-Catch",-1.2187202104595,-0.0406359543374969,-0.546005954376772
"PlanB-Catch",-0.869166741064469,-0.0400054236968621,-0.515601051254363
"ES-Frecent-Catch",-0.828977554598982,-0.25390708559909,-0.459110090055736
"Islope-Catch",-0.725046628490276,-0.508005370183481,-0.362125626759587
"AIM-M",1.66100244230374,0.264465022290194,-0.480351275419172
"ES-Fstable-M",1.63476274203229,0.268332024442434,-0.480039496266973
"Skate-M",1.92615674342856,0.00943751682108942,-0.332943942993178
"ES-FM-Catch",-0.138979088101412,-1.4542521420112,2.10723981515412
"ES-FSPR-Catch",-0.136406091204898,-1.44652494232157,2.06420658746646
"Skate-Catch",-0.469585563043274,-1.56124591599388,2.36761806970655
"AIM-Catch",0.435639773264346,-1.35871239163117,1.28944900951057
"ES-Fstable-Catch",0.45578074259396,-1.34950319515592,1.26129953449303
"Ensemble-Catch",0.00451400513561424,-1.19531049589222,0.879254820604071
"Itarget-Catch",0.907109566647572,-1.05298508889193,0.690270943710294
