"","SSB","Catch","F"
"ES-Fstable-L",0.708746653293063,0.837227145076531,1.68828069729015
"AIM-L",0.698266780067114,0.834083119799492,1.69164101726363
"ES-FSPR-L",0.702090872683883,0.753897925821688,1.71206146726579
"ES-FM-L",0.705813550497877,0.752051399632659,1.81769675205377
"ES-FM-S",0.762793399634119,1.12916796573564,1.71396978790087
"ES-FSPR-S",0.765768640623406,1.13036312649603,1.70661387955297
"Itarget-L",1.0184004907616,0.894476722413396,1.62539920653339
"Ensemble-L",0.932074665307831,0.7319447386357,1.49500186369045
"Ensemble-S",0.9142999125119,1.05888875953785,1.30327699909545
"PlanB-S",1.14440716584933,0.855910823266073,0.779575819843615
"DLM-S",1.12693671822773,0.834217929296819,0.794870642567236
"ES-Frecent-S",1.11754810357478,0.899187087915304,0.849581756310462
"Itarget-S",0.938074130528775,0.833234726246422,0.787820569809985
"Islope-S",1.07765527554844,0.956767509506121,0.962357846230745
"CC-FM-S",1.19194907156156,0.553138931768708,0.448165696260851
"CC-FSPR-S",1.19407367457366,0.550309273609984,0.442946142086801
"Islope-L",1.65588341180735,0.433554591265343,0.549612823785777
"CC-FM-L",2.66182842994828,0.33499722815886,0.137381845803601
"CC-FSPR-L",2.66254969687785,0.341059448052335,0.130441492917408
"PlanB-L",2.34328449021838,0.301260097805538,0.187305588401909
"DLM-L",2.45449207407218,0.162567123226966,0.109376042133288
"ES-Frecent-L",2.10094068254743,0.353325835164474,0.283261962460892
"ES-Fstable-S",0.694282287481432,1.28337142472839,2.61059725904221
"AIM-S",0.6919677269694,1.28934543919097,2.57813332407504
"Skate-L",0.417831873172441,0.62448433578317,3.10277080288652
"Skate-S",0.595469389343962,1.39114627650793,4.31265860119603
