"","SSB","Catch","F"
"ES-Fstable-L",-0.734558814524186,0.192173997412346,0.376800055344103
"AIM-L",-0.750134683203868,0.182641293858756,0.380067750345597
"ES-FSPR-L",-0.744451068227472,-0.0604806966544757,0.39992532430492
"ES-FM-L",-0.73891818252195,-0.0660793751678145,0.502648843138696
"ES-FM-S",-0.6542310275918,1.07734032188811,0.40178104335838
"ES-FSPR-S",-0.649809031071384,1.08096405650337,0.39462789570292
"Itarget-L",-0.274331156747988,0.365755060295759,0.315651850811756
"Ensemble-L",-0.402634208888338,-0.127042892266851,0.188848823487252
"Ensemble-S",-0.429052201682158,0.864253345915618,0.00240872651911394
"PlanB-S",-0.0870518470068899,0.248823022079015,-0.506856980087565
"DLM-S",-0.113017561673693,0.183050037065629,-0.491983748919943
"ES-Frecent-S",-0.126971530940841,0.380036916833834,-0.438780710424808
"Itarget-S",-0.393717413769256,0.18006895950214,-0.498839491138204
"Islope-S",-0.186262844604921,0.554621101485496,-0.329113217974934
"CC-FM-S",-0.0163919769693362,-0.669183174335142,-0.8291320053302
"CC-FSPR-S",-0.0132342538939232,-0.677762714894852,-0.834207685985372
"Islope-L",0.67313739078785,-1.03176361412853,-0.730481200006434
"CC-FM-L",2.16823825353002,-1.33059013196193,-1.13134930686686
"CC-FSPR-L",2.16931024731618,-1.31220944477623,-1.1380983535689
"PlanB-L",1.69479754800158,-1.43288131414669,-1.08280167883383
"DLM-L",1.86008148655177,-1.8533992474085,-1.15858314929514
"ES-Frecent-L",1.33461043101712,-1.27501768526094,-0.989490278030083
"ES-Fstable-S",-0.756056695038524,1.54488613720061,1.27369357810976
"AIM-S",-0.759496745295747,1.56299938498921,1.24212448979129
"Skate-L",-1.16693526741085,-0.45286348016856,1.75230068748664
"Skate-S",-0.902918846141387,1.87166013614063,2.92883873806185
