"","F","Catch","SSB"
"ES-Fstable",0.689867114146776,1.16210155470695,-0.9502185908588
"AIM",0.692128756260474,1.17338185259502,-0.965216141141372
"ES-FM",0.458227047719423,0.681773193887284,-0.850536351813553
"ES-FSPR",0.413127261344412,0.664991233379239,-0.85981585002389
"Ensemble",0.0824906602321906,0.526321223235856,-0.466095476018297
"Itarget",-0.0567769922544167,0.398545374946842,-0.34744289912786
"Islope",-0.457799294583766,-0.422758499321746,0.219409746316248
"PlanB",-0.786022194466932,-0.660526974354327,0.958643353775947
"DLM",-0.851290532318139,-1.01289108061072,1.03694350655556
"ES-Frecent",-0.676884231802215,-0.560974530611487,0.644279858719438
"CC-FSPR",-1.03166703068534,-1.52894635954738,1.45387541393645
"CC-FM",-1.02900555329944,-1.54239597248676,1.43887481857455
"Skate",2.55360498970697,1.12137898418123,-1.31270138889442
