"StockType","RetroSource","Fhistory","FisherySelectivity","AutoCorrR","CombinedSurveys","IBM","CatchMultiplier","CapChange","factorial"
"groundfish-ish","Missing Catch","always overfishing","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Islope",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","Itarget",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","true_Skate_CR",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Constant",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Changed Survey q","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Selectivity Changes","always overfishing","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Missing Catch","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Increased M","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Changed Survey q","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Selectivity Changes","overfishing then fmsy","Time-varying",TRUE,"Spring and Previous Fall","M_CC",1,"none",TRUE
"groundfish-ish","Missing Catch","always overfishing","Constant",TRUE,"Spring and Previous Fall","PlanBsmooth",1,"none",TRUE
"groundfish-ish","Increased M","always overfishing","Constant",TRUE,"Spring and Previous Fall","PlanBsmooth",1,"none",TRUE
