"","metric","AIM","CC-FM","CC-FSPR","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","Skate"
"1","catch_a_iav_catch",7,1,3,9,5,10,8,6,11,4,12,2
"2","catch_l_avg_catch",8,9,5,6,10,4,11,7,2,12,3,1
"3","catch_l_avg_catch_msy",9,6,2,7,10,5,12,8,1,11,4,3
"4","catch_l_iav_catch",5,2,3,9,6,10,8,4,11,1,12,7
"5","catch_l_prop_g_msy_2_of_3",5,11,12,3,2,7,1,6,4,8,9,10
"6","catch_l_sd_catch",5,2,3,8,7,10,6,4,11,1,12,9
"7","catch_s_avg_catch",11,2,1,8,9,5,7,10,6,4,3,12
"8","catch_s_avg_catch_msy",11,2,1,8,9,5,7,10,6,3,4,12
"9","catch_s_iav_catch",2,6,7,10,4,9,5,1,11,8,12,3
"10","catch_s_sd_catch",2,7,8,9,4,10,5,1,11,6,12,3
"11","f_l_avg_f_fmsy",8,10,12,4,5,3,7,9,1,11,6,2
"12","f_l_is_gr_f_dot_1_bmsy",5,9,12,6,8,7,11,4,2,3,10,1
"13","f_l_is_gr_f_dot_5_bmsy",3,10,12,7,6,8,9,2,4,5,11,1
"14","f_l_is_gr_fmsy",2,11,12,6,4,9,5,3,8,7,10,1
"15","f_l_is_less_f_dot_1_bmsy",9,8,11,5,6,3,7,10,1,12,4,2
"16","f_l_is_less_f_dot_5_bmsy",8,10,11,5,6,2,7,9,1,12,4,3
"17","f_l_is_less_fmsy",8,10,11,5,6,2,7,9,1,12,4,3
"18","f_l_n_gr_f_dot_1_bmsy",8,10,12,4,6,3,7,9,1,11,5,2
"19","f_l_n_gr_f_dot_5_bmsy",6,11,12,4,5,3,9,7,1,10,8,2
"20","f_l_n_gr_fmsy",3,11,12,6,5,7,8,4,2,10,9,1
"21","f_l_n_less_f_dot_1_bmsy",8,10,12,4,6,3,7,9,1,11,5,2
"22","f_l_n_less_f_dot_5_bmsy",6,11,12,4,5,3,9,7,1,10,8,2
"23","f_l_n_less_fmsy",3,11,12,6,5,7,8,4,2,10,9,1
"24","f_s_avg_f_fmsy",3,10,12,6,4,9,5,2,7,8,11,1
"25","f_s_is_gr_f_dot_1_bmsy",3,10,12,5,4,9,6,2,7,8,11,1
"26","f_s_is_gr_f_dot_5_bmsy",2,11,12,4,6,7,9,3,5,10,8,1
"27","f_s_is_gr_fmsy",2,10,12,5,4,7,9,3,6,11,8,1
"28","f_s_is_less_f_dot_1_bmsy",2,7,9,10,4,11,5,3,8,6,12,1
"29","f_s_is_less_f_dot_5_bmsy",2,11,12,5,4,9,6,3,7,8,10,1
"30","f_s_is_less_fmsy",2,11,12,5,6,7,9,3,4,10,8,1
"31","f_s_n_gr_f_dot_1_bmsy",3,9,11,7,4,10,5,2,6,8,12,1
"32","f_s_n_gr_f_dot_5_bmsy",2,11,12,4,5,8,7,3,6,10,9,1
"33","f_s_n_gr_fmsy",2,11,12,4,6,7,9,3,5,10,8,1
"34","f_s_n_less_f_dot_1_bmsy",3,9,11,7,4,10,5,2,6,8,12,1
"35","f_s_n_less_f_dot_5_bmsy",2,11,12,4,5,8,7,3,6,10,9,1
"36","f_s_n_less_fmsy",2,11,12,4,6,7,9,3,5,10,8,1
"37","ssb_l_avg_ssb_ssbmsy",2,11,12,6,5,9,7,3,4,8,10,1
"38","ssb_l_is_ge_bmsy",3,11,12,6,7,5,8,4,2,10,9,1
"39","ssb_l_is_less_01_bmsy",7,10,12,3,8,6,11,5,1,4,9,2
"40","ssb_l_is_less_05_bmsy",3,10,12,6,7,8,9,2,5,4,11,1
"41","ssb_l_n_ge_bmsy",3,11,12,6,5,8,9,2,4,7,10,1
"42","ssb_l_n_less_01_bmsy",8,10,12,4,5,3,9,7,1,11,6,2
"43","ssb_l_n_less_05_bmsy",4,11,12,5,7,6,9,3,2,8,10,1
"44","ssb_s_avg_ssb_ssbmsy",2,11,12,6,4,8,5,3,7,9,10,1
"45","ssb_s_is_ge_bmsy",2,11,12,4,6,7,9,3,5,10,8,1
"46","ssb_s_is_less_01_bmsy",3,9,11,6,4,10,5,2,7,8,12,1
"47","ssb_s_is_less_05_bmsy",3,9,10,5,4,11,6,2,8,7,12,1
"48","ssb_s_n_ge_bmsy",2,11,12,5,4,9,6,3,7,8,10,1
"49","ssb_s_n_less_01_bmsy",3,8,11,7,4,10,5,2,6,9,12,1
"50","ssb_s_n_less_05_bmsy",2,10,12,6,4,9,5,3,7,8,11,1
