"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","SCAA","Skate"
"1","catch_a_iav_catch",5,7,8,10,9,2,12,3,6,13,4,14,11,1
"2","catch_l_avg_catch",8,12,7,4,2,3,9,5,11,6,13,10,14,1
"3","catch_l_avg_catch_msy",11,6,1,2,5,7,9,10,12,4,14,8,13,3
"4","catch_l_iav_catch",5,2,3,4,11,7,10,8,6,13,1,14,12,9
"5","catch_l_prop_g_msy_2_of_3",6,12,14,13,9,10,3,5,4,2,7,8,1,11
"6","catch_l_sd_catch",6,2,5,8,10,9,12,7,4,13,1,14,3,11
"7","catch_s_avg_catch",13,2,1,4,10,11,6,9,12,7,8,3,5,14
"8","catch_s_avg_catch_msy",13,2,1,6,10,11,7,9,12,8,5,4,3,14
"9","catch_s_iav_catch",3,8,9,12,10,4,11,5,2,14,7,13,6,1
"10","catch_s_sd_catch",3,9,10,12,8,4,11,5,2,13,7,14,6,1
"11","f_l_avg_f_fmsy",8,11,14,12,3,4,5,6,9,2,10,7,13,1
"12","f_l_is_gr_f_dot_1_bmsy",4,11,14,13,6,7,8,9,5,2,3,10,12,1
"13","f_l_is_gr_f_dot_5_bmsy",3,11,14,13,7,6,8,9,2,4,5,10,12,1
"14","f_l_is_gr_fmsy",2,11,14,12,6,4,9,5,3,7,8,10,13,1
"15","f_l_is_less_f_dot_1_bmsy",10,9,12,8,3,5,4,7,11,2,13.5,6,13.5,1
"16","f_l_is_less_f_dot_5_bmsy",8,11,12,10,3,5,4,6,9,2,13.5,7,13.5,1
"17","f_l_is_less_fmsy",8,11,12,10,6,3,4,5,9,1,14,7,13,2
"18","f_l_n_gr_f_dot_1_bmsy",8,11,13,12,3,5,4,6,9,1,10,7,14,2
"19","f_l_n_gr_f_dot_5_bmsy",7,11,14,12,5,3,4,6,8,2,10,9,13,1
"20","f_l_n_gr_fmsy",3,12,14,13,7,5,6,8,4,2,10,9,11,1
"21","f_l_n_less_f_dot_1_bmsy",8,11,13,12,3,5,4,6,9,1,10,7,14,2
"22","f_l_n_less_f_dot_5_bmsy",7,11,14,12,5,3,4,6,8,2,10,9,13,1
"23","f_l_n_less_fmsy",3,12,14,13,7,5,6,8,4,2,10,9,11,1
"24","f_s_avg_f_fmsy",3,12,14,11,6,4,10,5,2,9,7,13,8,1
"25","f_s_is_gr_f_dot_1_bmsy",3,12,14,11,6,4,10,5,2,8,7,13,9,1
"26","f_s_is_gr_f_dot_5_bmsy",2,13,14,10,5,4,8,6,3,7,9,11,12,1
"27","f_s_is_gr_fmsy",2,13,14,10,4,5,7,9,3,6,11,8,12,1
"28","f_s_is_less_f_dot_1_bmsy",2,10,11,14,8,4,12,5,3,9,7,13,6,1
"29","f_s_is_less_f_dot_5_bmsy",3,13,14,11,6,2,10,5,4,9,7,12,8,1
"30","f_s_is_less_fmsy",2,13,14,9,4,5,8,6,3,7,11,10,12,1
"31","f_s_n_gr_f_dot_1_bmsy",2,10,13,12,7,4,11,5,3,9,6,14,8,1
"32","f_s_n_gr_f_dot_5_bmsy",3,13,14,10,6,4,9,5,2,8,7,12,11,1
"33","f_s_n_gr_fmsy",2,13,14,10,4,5,8,7,3,6,11,9,12,1
"34","f_s_n_less_f_dot_1_bmsy",2,10,13,12,7,4,11,5,3,9,6,14,8,1
"35","f_s_n_less_f_dot_5_bmsy",3,13,14,10,6,4,9,5,2,8,7,12,11,1
"36","f_s_n_less_fmsy",2,13,14,10,4,5,8,7,3,6,11,9,12,1
"37","ssb_l_avg_ssb_ssbmsy",2,13,14,12,6,4,8,7,3,5,9,10,11,1
"38","ssb_l_is_ge_bmsy",4,13,14,12,7,3,8,6,5,2,11,9,10,1
"39","ssb_l_is_less_01_bmsy",4,11,14,12,3,6,7,8,5,1,9,10,13,2
"40","ssb_l_is_less_05_bmsy",3,12,14,11,6,7,9,8,2,5,4,10,13,1
"41","ssb_l_n_ge_bmsy",2,13,14,12,6,5,8,7,3,4,9,10,11,1
"42","ssb_l_n_less_01_bmsy",7,10,13,12,4,3,6,5,8,2,11,9,14,1
"43","ssb_l_n_less_05_bmsy",3,13,14,11,6,5,8,7,4,2,9,10,12,1
"44","ssb_s_avg_ssb_ssbmsy",2,13,14,11,6,4,9,5,3,7,8,12,10,1
"45","ssb_s_is_ge_bmsy",2,13,14,10,5,4,8,7,3,6,11,9,12,1
"46","ssb_s_is_less_01_bmsy",3,10,12,13,8,2,11,5,4,9,7,14,6,1
"47","ssb_s_is_less_05_bmsy",3,10,14,12,6,4,11,5,2,9,7,13,8,1
"48","ssb_s_n_ge_bmsy",2,13,14,11,6,4,10,5,3,8,7,12,9,1
"49","ssb_s_n_less_01_bmsy",2,10,12,14,8,4,11,5,3,9,7,13,6,1
"50","ssb_s_n_less_05_bmsy",3,13,14,11,7,4,10,5,2,9,8,12,6,1
