f_1,f_2
0.1,0.3
0.125,0.3
0.15,0.3
0.175,0.3
0.2,0.3
0.225,0.3
0.25,0.3
0.275,0.3
0.3,0.3
0.325,0.3
0.35,0.3
0.375,0.3
0.4,0.3
0.425,0.3
0.45,0.3
0.475,0.3
0.5,0.3
0.525,0.3
0.55,0.3
0.575,0.3
0.6,0.3
0.625,0.3
0.65,0.3
0.675,0.3
0.7,0.3
0.67,0.3
0.64,0.3
0.61,0.3
0.58,0.3
0.55,0.3
0.52,0.3
0.49,0.3
0.46,0.3
0.43,0.3
0.4,0.3
0.37,0.3
0.34,0.3
0.31,0.3
0.28,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
0.25,0.3
