"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","Skate"
"1","catch_a_iav_catch",-0.632619931641295,-0.698287051135267,-0.68267117641152,-0.487891597824534,-0.416623613500426,-0.682065217588152,-0.326050224380954,-0.651199634525799,-0.634882886341965,-0.1692340365529,-0.711741656225569,-0.196198878857199,-0.745148133159307
"2","catch_l_avg_catch",4056.00952709101,3065.85122995619,3102.99434786133,1716.12671368837,3492.09650410861,3300.87600140252,2567.58488907615,3336.58272134833,4088.03722100695,2658.25907246437,4802.05810323152,2361.9216077618,2806.92179942728
"3","catch_l_avg_catch_msy",0.902882844676523,0.531898542111729,0.535565029286307,0.361371435931997,0.778051587653987,0.792705494661225,0.53354132607865,0.798195096376904,0.906607249011589,0.557371441352807,0.979309749662534,0.484559577736706,0.712214360851968
"4","catch_l_iav_catch",-0.401091350301587,-0.596612543524819,-0.591698210934736,-0.529891605938882,-0.289974757304247,-0.348521091498775,-0.28784111645115,-0.345737256674697,-0.404393863736152,-0.120014379769001,-0.634500352769088,-0.177961963052208,-0.312631429015039
"5","catch_l_prop_g_msy_2_of_3",-0.246706929151374,-0.0848958333333333,-0.0871006944444444,-0.0465017656364995,-0.2395,-0.226076388888889,-0.116246527777778,-0.225753472222222,-0.246836235541097,-0.144357638888889,-0.241909722222222,-0.105361111111111,-0.211722222222222
"6","catch_l_sd_catch",-2766.63888988764,-2508.80403239092,-2507.45771045774,-1214.44155534285,-1990.7653614619,-1965.06457049559,-872.693524361459,-1990.28047850683,-2814.82528815525,-634.151698592052,-5249.38115538383,-561.661786953058,-1687.20378768052
"7","catch_s_avg_catch",7589.63314824579,3868.80008799383,3871.50388544485,4693.62801996034,6702.15299656345,7132.39050162292,4931.9758812273,7146.92280388952,7576.27420753015,5159.75373481046,6246.03641823537,4687.78391379577,7916.0413952042
"8","catch_s_avg_catch_msy",1.481090880831,0.738241424244034,0.735009957514777,0.956783411785021,1.26728585296003,1.32958325245042,1.00517255457092,1.33034645561594,1.47853905674536,1.05642070993871,1.11540999317516,0.956375462528671,1.56059099393082
"9","catch_s_iav_catch",-0.42849817826467,-0.265776126011688,-0.262211011379328,-0.170862695953072,-0.210733619773807,-0.388946337542481,-0.185619288227999,-0.381073967775164,-0.431303144324595,-0.0891537793948937,-0.299700632222774,-0.105005374247606,-0.424900316818143
"10","catch_s_sd_catch",-5190.34867634504,-1795.04104405453,-1757.48354242376,-1001.34258641923,-2391.4260141683,-4798.99632695859,-1030.67735981928,-4707.11020178398,-5194.64061463384,-613.727557290036,-3578.39108402641,-616.353514025161,-5478.8918816387
"11","f_l_avg_f_fmsy",-2.62761614747876,-1.07215447959007,-0.972188669888312,-0.640349226758028,-3.22727682875649,-3.84399684808568,-1.83298939366224,-3.75671903217924,-2.60965712370401,-2.59777266667645,-2.2481550053069,-1.31979488899045,-4.86396574177987
"12","f_l_is_gr_f_dot_1_bmsy",-0.478737925425425,-0.216125,-0.1946875,-0.125462036295976,-0.4606875,-0.5033125,-0.2235,-0.4881875,-0.479557244744745,-0.323625,-0.552625,-0.1571875,-0.6024375
"13","f_l_is_gr_f_dot_5_bmsy",-0.706561248748749,-0.2849375,-0.287375,-0.208155647600473,-0.6328125,-0.6299375,-0.3336875,-0.630125,-0.7120625,-0.45425,-0.755375,-0.2348125,-0.825375
