"","metric","AIM","CC-FM","CC-FSPR","DLM","Ensemble","ES-FM","ES-Frecent","ES-FSPR","ES-Fstable","Islope","Itarget","PBS","SCAA","Skate"
"1","catch_a_iav_catch",-0.807061766105112,-0.798130826744785,-0.721747229038793,-0.506972032861956,-0.524331610234209,-0.914054144577564,-0.389236056089569,-0.84053243102157,-0.800688193715386,-0.285287862849021,-0.835786893489948,-0.236609402447509,-0.453195149926948,-1.03525036299943
"2","catch_l_avg_catch",3137.06007026865,3486.52825636752,2893.97467327079,2480.16751016084,2272.01367809653,2400.47677816082,3141.07369144765,2619.63363854261,3174.12890822868,2684.49019199995,4296.39032118832,3168.79812666599,4386.94136046192,1878.90664392766
"3","catch_l_avg_catch_msy",0.792636654321216,0.66526998051152,0.521846490739784,0.553428539453454,0.621845428173728,0.686553438102985,0.696958685784615,0.715157453603326,0.797417356837118,0.600592464103232,0.92934861133091,0.688833539294899,0.904428483628608,0.580296435862588
"4","catch_l_iav_catch",-0.446809101278078,-0.630314416746746,-0.59327016582991,-0.525167018917909,-0.310007568620136,-0.387539719522402,-0.314327264812728,-0.378278636582758,-0.446439238946626,-0.21305876984897,-0.727373597064126,-0.208491768085649,-0.275846350337761,-0.350557034439623
"5","catch_l_prop_g_msy_2_of_3",-0.214188827716605,-0.121597222222222,-0.0840833333333333,-0.0850580298676022,-0.204152777777778,-0.203486111111111,-0.217083333333333,-0.214680555555556,-0.215900942609276,-0.240625,-0.211694444444444,-0.206402777777778,-0.251363977955912,-0.177680555555556
"6","catch_l_sd_catch",-2376.52686110516,-3131.9212750425,-2408.97412611344,-1577.10006883874,-1302.31378244408,-1545.38993831783,-1116.66406291411,-1642.72947416852,-2418.6778875969,-876.127332638058,-5329.68943431891,-715.953411652761,-2740.59713884879,-1269.84302649378
"7","catch_s_avg_catch",7404.1403693983,4252.15110912151,3757.7719452917,5295.18561407054,6799.8078546845,7069.18653662119,5409.91176632695,6774.31372076749,7403.05495768962,5610.62065729586,5925.15914882725,5145.22960518258,5396.26374411638,7609.85393154199
"8","catch_s_avg_catch_msy",1.53559442989611,0.851733014188657,0.746922680259428,1.13229895099457,1.36065234849045,1.4005881529757,1.15514421677228,1.31347524225794,1.53436024530927,1.20364700595489,1.10284918411936,1.10102889802386,0.99401852997708,1.58720363055656
"9","catch_s_iav_catch",-0.481890964732855,-0.274227699452122,-0.265386386012166,-0.144480628057046,-0.229839581586733,-0.45268026472079,-0.199404068540788,-0.423226341316007,-0.48675654199363,-0.115088759330386,-0.320604371744694,-0.115137439649274,-0.350933827886798,-0.492376162227296
"10","catch_s_sd_catch",-5668.31359688129,-2038.50562358287,-1804.23817841833,-972.192153815906,-2651.12208801763,-5514.18013524102,-1179.14960163891,-5150.53487905829,-5693.98464463395,-776.421356985617,-3894.69094723299,-723.43215629433,-4569.69652626084,-6057.58886431756
"11","f_l_avg_f_fmsy",-3.19572281938889,-2.01921782052703,-1.16496622931051,-1.49082654403756,-4.74892189971543,-4.67520361743665,-4.30931243087792,-4.15413539709625,-3.15737781823898,-5.51178731640946,-2.35405928745977,-3.22029437672204,-1.32294888066994,-6.21806640118413
"12","f_l_is_gr_f_dot_1_bmsy",-0.635451701701702,-0.38675,-0.2315,-0.316241940085044,-0.612,-0.579,-0.575,-0.52075,-0.634736986986987,-0.7495,-0.676,-0.4115,-0.316968436873747,-0.7925
"13","f_l_is_gr_f_dot_5_bmsy",-0.837244994994995,-0.4545,-0.28975,-0.406535734054524,-0.7285,-0.74475,-0.6635,-0.637,-0.8425,-0.799,-0.76725,-0.4885,-0.45375,-0.911
"14","f_l_is_gr_fmsy",-0.984997997997998,-0.5395,-0.36375,-0.513169054083897,-0.878,-0.96875,-0.7825,-0.9125,-0.98175,-0.86875,-0.85625,-0.623,-0.511,-0.99025
"15","f_l_is_less_f_dot_1_bmsy",0.976476476476477,0.97475,0.99375,0.956354013998922,0.7435,0.78575,0.767,0.84,0.97948048048048,0.6615,1,0.83775,1,0.60375
"16","f_l_is_less_f_dot_5_bmsy",0.925675675675676,0.9645,0.98625,0.951584688505138,0.69425,0.708,0.704,0.7575,0.931193443443443,0.58425,1,0.7935,1,0.55475
"17","f_l_is_less_fmsy",0.789039039039039,0.94825,0.978,0.941702651336843,0.658,0.60125,0.622,0.648,0.80010960960961,0.48825,0.999,0.72525,0.993992985971944,0.5125
"18","f_l_n_gr_f_dot_1_bmsy",-4.85894944944945,-3.33925,-1.77125,-2.35179526710298,-8.048,-7.61925,-8.02975,-6.71225,-4.76217967967968,-10.975,-4.0285,-5.6315,-1.33417184368737,-10.85525
