"","Islope","Itarget","Skate","ES-Frecent","ES-FSPR","ES-FM","AIM","DLM","CC-FM","PBS","ES-Fstable","CC-FSPR","Ensemble"
"retro_type           ",0.023,0.024,0.058,0.014,0.01,0.011,0.017,0.011,0.055,0.011,0.016,0.052,0.002
"Fhist                ",0.015,0.08,0.039,0.009,0.04,0.041,0.052,0.002,0.126,0.009,0.053,0.121,0.025
"n_selblocks          ",0.002,0.007,0.009,0.001,0.01,0.003,0.003,0.001,0,0,0.003,0.038,0.007
"catch.mult           ",0.069,0.002,0.001,0.127,0.002,0.002,0.001,0.108,0.044,0.147,0.001,0.04,0.002
"time.avg             ",0.199,0.007,0.236,0.185,0.114,0.117,0.128,0.213,0.033,0.211,0.125,0.03,0.105
"Fhist:time.avg       ",0.001,0.049,0.047,0,0.096,0.095,0.036,0.002,0.021,0,0.036,0.02,0.062
"retro_type:Fhist     ",0.012,0.036,0.005,0.013,0.001,0,0.014,0.005,0.001,0.013,0.014,0.002,0.017
"retro_type:catch.mult",0.003,0.001,0.004,0.003,0.006,0.006,0.008,0.002,0,0.002,0.008,0,0.008
"retro_type:time.avg  ",0,0.061,0.066,0,0.143,0.148,0.041,0,0.012,0,0.04,0.01,0.073
"catch.mult:time.avg  ",0,0.001,0.003,0.008,0.004,0.004,0.006,0.004,0.004,0.013,0.006,0.003,0.011
"Fhist:catch.mult     ",0.002,0,0,0.003,0,0,0,0.001,0,0.003,0,0,0
"SS.frac.explained",0.325,0.269,0.469,0.364,0.425,0.429,0.307,0.348,0.296,0.41,0.302,0.316,0.313
