"","Islope","Itarget","Skate","ES-Frecent","ES-FSPR","ES-FM","AIM","DLM","CC-FM","PlanB","ES-Fstable","CC-FSPR","Ensemble"
"retro_type           ",0.053,0.539,0.496,0.055,0.575,0.58,0.503,0.051,0.134,0.053,0.5,0.128,0.427
"Fhist                ",0.019,0.012,0.013,0.024,0,0,0.019,0.025,0.005,0.023,0.019,0.004,0.007
"n_selblocks          ",0.004,0,0.001,0.002,0.002,0.003,0.001,0.001,0.002,0.002,0.001,0.008,0
"catch.mult           ",0.102,0.005,0.016,0.117,0.009,0.01,0.022,0.079,0.017,0.089,0.022,0.015,0.025
"time.avg             ",0.046,0.001,0.006,0.1,0.001,0.001,0,0.202,0.202,0.151,0,0.208,0.001
"Fhist:time.avg       ",0.016,0,0.002,0.011,0.009,0.009,0.002,0.009,0.045,0.01,0.002,0.041,0.013
"retro_type:Fhist     ",0.001,0.003,0.006,0.001,0.001,0.001,0.003,0.003,0,0.001,0.003,0,0.001
"retro_type:catch.mult",0,0,0.01,0,0.003,0.003,0.005,0,0.001,0,0.005,0.001,0.003
"retro_type:time.avg  ",0.002,0,0.004,0.002,0.009,0.008,0.003,0.002,0.002,0.002,0.003,0.001,0.021
"catch.mult:time.avg  ",0.071,0,0.002,0.083,0.001,0.001,0.005,0.055,0.01,0.062,0.005,0.009,0.007
"Fhist:catch.mult     ",0.001,0,0,0,0,0,0,0,0.001,0,0,0.001,0
"SS.frac.explained",0.315,0.56,0.555,0.395,0.612,0.617,0.563,0.426,0.419,0.394,0.559,0.415,0.506
