"","Islope","Itarget","Skate","ES-Frecent","ES-FSPR","ES-FM","AIM","DLM","CC-FM","PBS","ES-Fstable","CC-FSPR","Ensemble"
"retro_type           ",0,0,0,0,0,0,0,0,0,0,0,0,0
"Fhist                ",0,0,0,0,0.001,0,0,0,0,0,0,0,0
"n_selblocks          ",0,NA,0,0,0,0,0,0,0,0,0,0,0
"catch.mult           ",0,0,0,0,0,0,0,0,0,0,0,0,0
"time.avg             ",0,0,0,0,0,0,NA,0,0,0,NA,0,0
"Fhist:time.avg       ",0,0,0,0,0,0,0,0,0,0,0,0,0
"retro_type:Fhist     ",0,0,0,0,0,0,0,0,0.01,0,0,NA,0
"retro_type:catch.mult",NA,0,0,NA,0,0,0,NA,0,NA,0,0,0
"retro_type:time.avg  ",0,NA,0,0,0,0,0,0,0,0,0,0,0
"catch.mult:time.avg  ",0,0.01,0,0,0,0,0,0,0,0,0,0,0
"Fhist:catch.mult     ",0,0.001,0,0.01,0.001,0,NA,0.001,0,NA,NA,0,NA
