"","F","Catch","SSB"
"ES-FM-S-0.75",1.27996535956587,1.02691085049641,0.821767050700644
"ES-FSPR-S-0.75",1.26396618575647,1.02782632707126,0.82441440823281
"ES-Fstable-L-0.75",1.18361905314265,0.883941585711232,0.882894469938543
"AIM-L-0.75",1.19119274165475,0.881685303664103,0.871736869307012
"Islope-S-1",1.26592005189503,1.08728350864548,1.00282598655709
"PBS-S-1",0.997064074117991,0.98509963959968,1.07916927101324
"DLM-S-1",1.00874202490413,0.972296303340648,1.07986350878524
"Ensemble-S-0.75",0.989560661879861,0.930771831218537,0.997359571363084
"ES-Frecent-S-1",1.10571397093776,1.03808725627041,1.04579660851879
"Itarget-S-1",1.01060568427372,0.925983757224856,0.868949452760069
"ES-FM-L-0.75",1.47735207257712,0.783325826845077,0.869818213028638
"ES-FSPR-L-0.75",1.3400130529739,0.785346511926341,0.846701652716873
"Itarget-L-0.75",1.45924296970041,0.889937020979186,1.07971895577963
"ES-Fstable-S-0.75",1.78091457380558,1.19133744239457,0.752905925792492
"AIM-S-0.75",1.74436906171686,1.19405556807483,0.751605050022665
"Ensemble-S-1",1.80612111915241,1.19447896604745,0.833282575666136
"Itarget-L-1",1.78654483926963,0.899939900266156,0.949408868188074
"ES-Frecent-L-1",1.69234287611794,0.778489971852067,0.944829541327019
"AIM-L-1",2.04036040971363,0.780640617766773,0.544146736948881
"ES-Fstable-L-1",2.0158895722763,0.78610778601802,0.554078236103727
"ES-FSPR-L-1",1.9435222354696,0.715337924736517,0.563184156842031
"ES-FM-L-1",2.15032299968618,0.712988229643758,0.574261115275665
"Ensemble-L-1",2.04751695583884,0.658922652591051,0.688101915774556
"CC-FM-S-1",0.543663280917883,0.640140601847039,1.14374088906453
"CC-FSPR-S-1",0.537924566806341,0.6384016527,1.14603751447878
"DLM-S-0.75",0.567899047270145,0.663992563892041,1.19976902042156
"ES-Frecent-S-0.75",0.657649522001923,0.76883722060258,1.19124992408879
"PBS-S-0.75",0.61883064490743,0.733007471136047,1.20798445143185
"Itarget-S-0.75",0.636634646810327,0.740585463706327,0.996010318210198
"Ensemble-L-0.75",0.840975381192802,0.784795614435803,1.22206334675817
"Islope-S-0.75",0.754214023064934,0.836523292396639,1.15101977233461
"PBS-L-1",0.757026898228229,0.761179705363773,1.42453061542913
"CC-FM-S-0.75",0.370968225450909,0.477240497444999,1.24321362478813
"CC-FSPR-S-0.75",0.367303373813096,0.476144909137309,1.24116769746821
"DLM-L-1",0.40508627166085,0.510790512226986,1.75476809712787
"PBS-L-0.75",0.0622095380637777,0.214872106182529,2.9917716400753
"CC-FM-L-0.75",0.0622369899918408,0.206887599168907,2.98016623647302
"CC-FSPR-L-0.75",0.0606977062764835,0.198418540968934,2.99251143607178
"ES-Frecent-L-0.75",0.0832721585153657,0.268810467431196,2.85956823021974
"DLM-L-0.75",0.0156411842985803,0.058142600589466,3.26625461113667
"CC-FM-L-1",0.331947741085191,0.543462318378611,2.27274043345753
"CC-FSPR-L-1",0.307397231163937,0.535272837196918,2.27506558666942
"Islope-L-0.75",0.148332710447052,0.385481202450574,2.53029669155504
"ES-FM-S-1",2.46264858247113,1.23856761156823,0.711586844065421
"ES-FSPR-S-1",2.31010226853728,1.23011206295836,0.711206941937932
"Islope-L-1",2.9952530150154,0.636053707784459,0.571156973409165
"Skate-L-0.75",2.53554135136852,0.682926102237635,0.558060810691823
"ES-Fstable-S-1",3.28928215951332,1.37470665814206,0.640992438837611
"AIM-S-1",3.24624458513114,1.37735145889107,0.639817673353951
"Skate-S-0.75",3.34062659778669,1.30857277725293,0.640981899975092
"Skate-S-1",5.22094235915377,1.47706533881901,0.559627246169168
"Skate-L-1",3.93282638165983,0.561332767557589,0.33048196637843
