"","Catch","SSB","F"
"ES-FM-M-S",0.967198325965686,1.50377197915504,0.57199516841669
"ES-FSPR-M-S",0.957500975557218,1.50160192444241,0.569709065472745
"Ensemble-M-S",0.970514154447168,1.47263422223019,0.608254020641093
"ES-Frecent-M-S",0.957758092645566,1.47550618599994,0.586989098531624
"PlanB-M-S",0.911456121475126,1.50123281141925,0.545390478408758
"DLM-M-S",0.891218462162011,1.48791086703986,0.536800503308084
"ES-FM-M-L",1.0922934549194,1.65334951182348,0.665671334941428
"ES-FSPR-M-L",1.08737981607928,1.65687603278185,0.659897342111772
"Itarget-M-L",0.961723823377437,1.79132662907357,0.759997767165948
"Ensemble-M-L",0.956074896092495,1.87720778441211,0.544517426212616
"CC-FM-Catch-L",0.60069112428206,2.01359382804906,0.438647771069617
"CC-FSPR-Catch-L",0.592748839192075,2.03994665434526,0.408711422443466
"Islope-M-L",0.507643842577677,1.8836431075023,0.457395712548163
"ES-Frecent-Catch-L",0.304630871104679,1.90406909102273,0.337932626360458
"CC-FM-M-S",0.529409837640206,1.68400980919437,0.264334510524566
"CC-FSPR-M-S",0.525266871302164,1.68147187177249,0.257400728575954
"Itarget-M-S",0.529269860535096,1.67131814863285,0.255267116519683
"Islope-Catch-L",0.350766660801607,1.36613269582317,0.708561230829546
"ES-Fstable-M-L",1.08012156488779,1.43926170739028,0.839397919492853
"AIM-M-L",1.0868265997173,1.43311895199458,0.834432808733886
"Islope-M-S",1.03117183751942,1.42748634504666,0.685883205134719
"AIM-M-S",1.22707627767287,1.31800558256486,0.927498024924235
"ES-Fstable-M-S",1.22354078819362,1.31668194852901,0.921781734378861
"Skate-M-S",1.37813680937805,1.21291661548665,1.25507140649309
"Skate-M-L",1.06594962155707,1.20709701437998,1.30935147663235
"PlanB-Catch-S",0.792374628758893,0.794871127521888,1.10421008176356
"DLM-Catch-S",0.779365332734169,0.765876465441248,1.14261010301639
"ES-Frecent-Catch-S",0.827380824078892,0.767554813615752,1.20107568390131
"Islope-Catch-S",0.869970878911753,0.752059143096414,1.32852589444148
"CC-FM-Catch-S",0.587800193785371,0.749966238073629,0.763734781770049
"CC-FSPR-Catch-S",0.584866023300799,0.750164983755785,0.756298002049595
"ES-Frecent-M-L",0.415571131150115,2.28676727052434,0.240635785227171
"PlanB-Catch-L",0.270485508729677,2.14919665999276,0.218486485371264
"DLM-Catch-L",0.106407534832607,2.26557223871901,0.0994804581745467
"PlanB-M-L",0.343441562316877,2.54386079129306,0.161565573355594
"DLM-M-L",0.254248282486067,2.61267735736653,0.118997553424587
"CC-FM-M-L",0.205925626849814,3.23810584338457,0.0512406185957839
"CC-FSPR-M-L",0.202035486194241,3.23946346325418,0.0506728682702665
"ES-FSPR-Catch-S",1.37753000021293,0.36807512850081,8.72985234370611
"ES-FM-Catch-S",1.38214839185995,0.360240575591161,8.72985234370611
"AIM-Catch-S",1.36783778540483,0.348667356289536,8.72985234370611
"ES-Fstable-Catch-S",1.36273984646831,0.351311673421665,8.72985234370611
"Skate-Catch-S",1.40826758678731,0.301118509685479,8.72985234370611
"ES-FM-Catch-L",0.250659272079947,0.0855601737074849,7.22576095636495
"ES-FSPR-Catch-L",0.275932995411073,0.0956758133862267,7.03317431391954
"Skate-Catch-L",0.103002192983954,0.0316271909209135,8.2733779379075
"Ensemble-Catch-S",1.22898005016598,0.522296159671557,3.84645308597389
"Itarget-Catch-L",0.844505134743098,0.551459203571125,3.89790069964145
"AIM-Catch-L",0.545538653016494,0.262846769427001,4.16516978038614
"ES-Fstable-Catch-L",0.556710877261773,0.272791200627563,4.13464065147638
"Ensemble-Catch-L",0.293291940016156,0.219540343278491,5.07469093098606
"Itarget-Catch-S",1.30331067312132,0.472651605735301,6.27926431052177
