,Catch,SSB,F
ES-FM-M,1.038688024,1.577959196,0.621788932
ES-FSPR-M,1.036104677,1.580965028,0.616400928
Ensemble-M,0.962569241,1.666469845,0.581597782
Islope-M,0.792609141,1.576081541,0.62721347
PlanB-M,0.720969436,1.902615077,0.414790624
DLM-M,0.657032329,1.940164105,0.390061599
ES-Frecent-M,0.757449084,1.775577307,0.489101486
Itarget-M,0.766216612,1.738518228,0.419474721
CC-FM-M,0.388134227,2.379593908,0.166510887
CC-FSPR-M,0.394141196,2.363256723,0.167030009
CC-FM-Catch,0.591864622,1.14640791,0.667352918
CC-FSPR-Catch,0.589846956,1.157955109,0.646219985
DLM-Catch,0.500156568,1.175897595,0.697856789
PlanB-Catch,0.578711937,1.176311183,0.781674071
ES-Frecent-Catch,0.587743678,1.036005551,0.937402863
Islope-Catch,0.61110014,0.869333539,1.204760206
AIM-M,1.147318432,1.376024069,0.878847227
ES-Fstable-M,1.141421568,1.378560572,0.87970671
Skate-M,1.206906724,1.208742548,1.285205436
ES-FM-Catch,0.742807463,0.248656962,8.012066876
ES-FSPR-Catch,0.743385694,0.253725504,7.893437056
Skate-Catch,0.668510064,0.178475978,8.729852344
AIM-Catch,0.871941917,0.311324848,5.757660658
ES-Fstable-Catch,0.87646821,0.317365484,5.680060921
Ensemble-Catch,0.775054755,0.418505905,4.626877182
Itarget-Catch,0.977895617,0.511862151,4.105904796
